"word","definition"
"A","Tarehintsoratra ary zanatsoratra voalohany amin'ny abidy malagasy."
"A"," t.p, : Feo kely ampanarahina ny anaran'olona antsoina raha ankizy na olona tsy dia hajaina firy: 0 ry Koto a, ento aty ny famaky. •Enti-milaza fahatairana, figagana: A! hadinoko lahy ny nampandre an-dry dadatoa! ~ Entimiangavy somary mihanta ary manantitrantitra: Itondray mofo kely ange aho rehefa mankany an-tsena i neny; izany ange, ry neny a!"
"A",": Tovona fanaovana karazana matoanteny roa, dia: a) ny matoantenin'ny atao (mt. at. J, izay entina milaza ny hevitra hoe ""atao"" na ""asaina"" na ""avela""...: Aato: asaina miato; ajaridina: avala hijaridina. b) ny matoantenin'ny fitaovana (mt. fit.), izay enti-milaza ny zavatra ""entina manao"" na ""ampiasaina hanao"" asa iray: Adaka: entina mandaka, adidy: ampiasaina handidy."
"A","Endriky ny an na ana eo alohan'ny teny iray manomboka amin'ny m na n: Amorona (an-morona), anosy (annosY)"
"Aainginaingina"," (ainginaingina), mt. at. (aainginaingeno): Apetraka amin'ny toerana avo: Aza aainginaingina eny io tavim-boninkazo io."
"Aaloka"," (aloka) mt. at. (aatofy): Atao fialofana: Ireto ampanga ireto aaloka ny zanakazo."
"Aampatra"," (ampatra), ma at. (aamparo): Atsotra mandry mivalampatra; avalandotra: Andeha haampatra etsy ambony ahi-maitso aloha ny marary."
"Aankina"," (ankina), mt. at. (aankino): Atao miankina (amin' ny hevitra ara-bakiteny): Aza aankina amin'ny rindrina ny sahafa sao maloto ny rindrina."
"Aantsona"," (antsona), mt. at. (aantsony): Atao miantsona, ajanona amin'ny toerana iray amoron-dranomasina: Naantsona tsy fidiny tao Toamasina ilay sambo noho ny tafiodrivotra."
"Aapanapana"," (apanapana), mt. at. (aapanapano): Atotototo, avezivezy: Mba ratsy koa Rangahy iny; naapanapany eran'ny birao ity olona ity."
"Aato"," (ato), mt. at. (aato), mandidy (aatoy): Ajanona kely fa tsy tohizina; tapahina: Naato ny fivoriana mba hahafahana mifanakalo hevitra. Aatoy ny fiara fa misy miala.
"
"Aatoka"," (atoka), mt. at. (aatohy): Hetsehina midina sy miakatra ny loha ho mari-panekena na fiantsoana: Tsy niteny izy fa ny lohany fotsiny"
"Aatokatoka"," (atokatoka) mt.at. (aatokatohy): Ahetsiketsika mba ho mari-pandavana: Ny lohany naatokatony no mariky ny fandauany."
"Aatrana"," (atrana), mt.at. (aatrano): Fiteny amin'nY basy izay raisina ka ajoro tsara: Naatran'ny miaramila ny basy nandritra ny porizenitra."
"Aba"," a. Teny fahita indrindra amin'ny fitenim-paritra, mitovy hevitra amin'ny hoe:dada, kaky: Ey, abako be, hoy Iboina tamin-dRanakombe, izaho no izy. (Jar. Dada)."
"Ababy"," (baby), mt. at. (ababeo): Atao am-babena."
"abado","soherin-jorery (anaty tany), tsikovopotsy Ahitsio"
"Abafoka"," (bafoka), mt. at. (abafohy): Avala hitsilailay eo am-pandriana: Aiza no tsy ho kamo i Solo kely? zauatra abafok'i reniny hatramin'ny valo maraina ny adala lahy."
"Abahana"," (bahana), mt. at. (abahano): Atao mibahana, atsivetraka mba haka toerana be, asakana: Aza abahana eo ny tongotrao fa andehanan' ny olona eo."
"Abaiko"," (baiko), mt, fit. (abaikoy): Entina manome baiko: Py maso fotsiny no abaikony ny alikany."
"Abaka"," (baka), mt. at, (abakao) Atao mibaka, mihataka toy ny rantsan'ny tarehintsoratra V: Abakao ity hazo ity hanaovako filesy."
"Abalabala"," (balabala), mt. fit. (abalabalao): Ampiasaina ha-tao bala."
"Abaliaka"," (baliaka), mt. at. (abaliaho): Atao mibaliaka, misokatra be, mibalela-bozona (akanjo)."
