"word","definition"
"B"," Tarehintsoratra faharoa ary renisoratra voalohany amin' ny abidy malagasy, mitonona hoe bi na be. ? Fiovan'ny u amin'ny fanakambanan-teny (tongotra vakivaky = tongo-bakivaky) na amin'ny fanovonana man, izay tonga mam (man-voly = mambo-1Y)Ba a.: Mamikely, oroka, ifanaovan'ny mpisakaiza, indrindra ny mpihavana, ho mari-pitiavana: Mifanao ba."
"Ba"," (fr. banc) a.: Hazo fisaka lavalava misy tongony, natao hipetrahana. ¶ M. h,: Dabilio."
"Ba"," a.: Ny fingadonan'ny andalan-tononkalo, izay avy amin'ny toeran'ny tsindrimpeo amin'ny andalana tsirairay avy: Misy karazany roa ny ba, dia ny ba mingadona (oh. Làpa) ary ny ba mitsaika (oh. Tdratra), ~ Fomba fandrefesana ny feo amin'ny mozika: Ba efatra izany mozika izany. a Miuely ba: manamarika ny ban-kira amin'ny tehina kely izay entina hanoritana tsipika roa na telo na efatra. / Maka ba: manao fiomanana (avy amin'ilay fomban'ny mpitarika hira izay mively ba araka ny ban-kira roa na telo na efatra, indray mandeha alohan'ny hanombohana hira)."
"Ba"," (Ski) a: Karazan'oviala misy vodiny boribory sahala amin'ny tavolo."
"Ba"," (fr, bas) a.: Karazan-tenondamba vita tanana na mima atao amin'ny kofehy volonondry izay ampifampidipidirina manara-dalàna amin' ny vin-korise na vim-ba: Ma-nana akanjo ba mangamanga i Koto kely / Mahay manao ba ny uadin-dRabe. Akanjo ba sy ba kiraro"
"Ba"," (fr, bas) a: Fonon-tongotra rehefa atao anaty kiraro. é t.i.f.: Miba, fiba, mpiba."
"Baba"," a.: Ray, dada (teny efa tranainy, nefa mbola fampiasa ankehitriny any anindrantany: Baba sy nindry). ¶ M. h.: Aba, kaky. ~ H. L: Lehilahy efa antitra dia antitra, konka. ? p. t.: Tsara tarehy, kanto (tsy fanrpiasa raha tsy miaraka amin' ny mpisolo anarana fanao tovana ny: Babany izany raha tarehin'olona. ~ Tsy leo amin'ny zavatra ataony, manan-daza, manehoeho; * 0-hab.: Papangolahy onaty katsaka, ka izay miuoaka babany auokoa: Enti-milaza ny samy maha-kinga na mahay ny olona maro mifandimby manao zavatra imasom-bahoaka. - t.i.f.: Babantany (fer. ity). ? Baba ray, baba reny: zanaky ny tsara tarehy. ¶ M. h.: Malaza. manana anarana, mandeha laza, maneohoeho, maresaka, maketrika, ngeza, kalaza."
"Baba"," Baba ra:(jer. Babaka)."
"Babababa"," a.: Antsoantso milaza fahavoazana, faharariana: Mankarenin-tsofina ny babababan'Isambilo nokapohindra in y. 1 Fitarainana, menomenona. - t.i.f.: Mibabababa, fibabababa, mpibabababa / ibabababana, fibabababana."
"Babahaka"," (t. tr.) p. t.: Mangabakabaka."
"Babaka"," ft.: Enti-milaza fitobahan-drano, figororoanana, fandriahana. - t.i.f.: Mibabaka. -  F.-p.: Baba ra, mibaba ra (iaraha-mahalala fa betsaka ny teny izay manana endrika roa: na misy tovana ka, tra, na na tsotra izao fotsiny, toy ny hoe bila, bilaka; koa nt' babaka sy baba koa eto dia iray ihany): mandeha ra be, mitsonika ra, feno ra: Baba ra ny oron'ny zaza voadonan'ny sisin-databatra"
"Babaka"," ft.: Enti-milaza resaka feno menomenona, teny mitaraindraina (iaraha-mahalala fa betsaka amin'ny teny verindroa no mitovy amin'ilay teny tsotra niaviany misy ka na tra ihany, toy ny hoe miredareda sy miredaka; toraka izany koa, ny babaka, mibabaka dia iray ihany amin'ny teny ery ambony babababa, mibabababa): Nibabaha Ra-koto fa lasan'ny mpangarompaosy ny uolany roanjato."
"Babake"," (Ski) a.: Voatavo fotsy."
"Babakolahy"," (Ski) a.: Vody taho-mangahazo efa antitra ka maozatra aoka izany ny nofony."
"Babakoto"," a.: Karazana gidro fohy rambo, iray tarika amin'ny amboanala. ? h.i: sady fanaratsiana, enti-milaza olona tsy misy saina, donendrina: Mangina ilay baba-koto"
"Babangala"," na Babangoala p. t.: (trano) foana tsisy mpipetraka ary efa afaka daholo ny varavarambe sy varavarankely rehetra tao anatiny."
"Babangoala"," (jer. Babangala)."
"Babangoana"," p. t.: Foana tsY misy na inona na inona ao anatiny; nalana daholo ny fa-naira aman'entana tao anatiny: Nony lasa ianareo, dia efitrano babangoana sisa nitahiry ny fahatsiarouana anareo."
"Babantany"," p. t.: Fatratra, tsy erany loatra (na amin'ny tsara na amin'ny ratsy): Babantany ny vola laniny tamin'ny famadihana izay."
"Babena"," (baby) mt ih. (bribe()); Entina ao an-damosina: Etsy babeko, razandry.."
