"word","definition"
"D"," : Tarehintsoratra fahatelo ary renisoratra faharoa amin' ny abidy malagasy, mitonona hoe di na de • Fiovan'ny l amin'ny fanakambanan-teny (lalana lavitra = lalan-davitra). 1 Ny 1 amin'ny fitenim-paritany koa indraindray dia d amin'ny fiteny marina : lily =didy,
 Ahitsio"
"Daba"," a. : Vata vifotsy fasiana solitany na menaka.
 Ahitsio"
"Dababaka"," p.t. : Enti-milaza ny rano feno be loatra, mihoatra ny mety : Dababaka ioatra indray rano amin'ny tanin'anandrano ka sao dia mahald azy. - t.i.f, : Midababaka, fidababaka.
 Ahitsio"
"Dabadaba"," a. : Izay atao raha manatsikobana rano, raha mitsobo-drano na milomano. 1 Ny fikotaban'ny rano eo am-pirobohana na eo am-pilomanosana. - t.i.f. f. : Dabadabaina, adabadaba / midabadaba, fidabadaba ) idabadabana, fidabadabana.
 Ahitsio"
"Dabaka"," p.t, : Ilazana ny nahandro be rano loatra. i t.i.f. : Midabaka, fidabaka.
 Ahitsio"
"Dabarà"," (Ski) a : Omby fotsy, na sada fotsy, akana ra hasotroin'ny bila ka tonga mova tsy ny fatidrany ka na matY aza, tsy ihinanany akory.
 Ahitsio"
"Dabbka"," a. : Ilazana ny fidob ky ny rano mitobaka maf ., na ny fitobany raha misy vaingan-javatra lehibe nalefa taminy. - t.i.f. : Midabôka, fidabdka.
 Ahitsio"
"Dabe"," p. t. : Makadiry sady matavy, na boribory lehibe.
 Ahitsio"
"Dabebaka"," p.t. : Fohy vatana nefa lehibe sy mivelatra ny vavany : Iza no hahalany vary bebe kokoa araka ny hevitrao : ity harona dabebaka it?y sa Iroa lavalava kely vava iroa ? ¶ M,h, : Tabebaka. - t.i.f. : Midabebaka, fidabebaka.
 Ahitsio"
"Dabilio"," (fr. établi) a. : Akalandava fipetrahana any an-tsekoly na amin'ny trano fivoriana.
 Ahitsio"
"Dabo"," a : Valala karazan'ambolo.
 Ahitsio"
"Dabo"," p.t. : Tsy manana antondraharaha fa ny mipetraka na mandrimandry na mandehandeha foana ary ny homan-kanina no ataony. ¶M.h,:Kama.
 Ahitsio"
"Dabo-dela"," p. t. : Enti-milaza ny olona matavitavy lela ka tsy afa-miteny tsara, fa raha miteny izy, dia mitrangatranga ny lelany ka tsy mahavoaka mazava ny teny lazainy ny feony fa toy ny miraikitra.
 Ahitsio"
"Dabo-drano"," p.t. : Enti-milaza ny zana-borona (vorombe na ganagana ) matavy sy hifotrifotra.
 Ahitsio"
"Dabobohana"," (daboboka) mt. ih. (dabobohy) : Ianjerana : Teto amin'ny simd teto ve no nodabobohany ?
 Ahitsio"
"Daboboka"," a. : Fianjerana ka ny tena manontolo no indray miantonta mafy. • Fidabohana mafy aharenesana feo midoboka. i tif f. : Dabobohana, adaboboka / manadaboboka na mandaboboka, fanadaboboka, mpanadaboboka / anadabobohana,fanadabobohana( midaboboka na miandaboboka, fidaboboka, mpidaboboka )idabobohana,fidabobohana.
 Ahitsio"
"Dabofoka"," a. : Fianjerana, ka ny tena manontolo no indray mivongady sy midaboka amin'ny tany, - t.i.f. : Midabofoka.
 Ahitsio"
"Dabohana"," na Dabofana (daboka) mt.ih. (dabohy, dabofy) : Velezina, kapohina, tontaina : Maditra loatra io zaza io ka aoka hodabofandrainy any.
 Ahitsio"
