"word","definition"
"E"," Tarehintsoratra fahefatra ary zanatsoratra na zanapeo faharoa amin'ny abidy malagasy.
 Ahitsio"
"E"," t.-p. : Entina miantso, ka atao : Eo alohan'ny anaran' ny olona itenenana : E! ry razana ato ambany rangolahy! / Eo aorian'ny anaran' olona antsoina tsy dia hajaina loatra : Ketaka e!. ~ t.-p, : Entina manamafy fa manaiky : Azonao ue izany? Azoko e!. / Eny e! tsy hataoko tsinontsinona ny toroheuitrao!
 Ahitsio"
"Ebakebaka"," :Jer. Hebakebaka.
 Ahitsio"
"Ebana"," Ebanebana ft. : Entimilaza fitondrana lamba mirefarefa, na mihofahofa toy ny lamba fihaingoana. - t.i.f.: Ebanebanina / miebana, fiebana, mpiebana / iebanana, fiebanana.
 Ahitsio"
"Ebanebanina"," (ebanebana) mt. ih. (ebanebano) : Arefarefa, ahofahofa.
 Ahitsio"
"Ebo"," Eboebo a. sady p.t. : Re-, hareha, rehaka, hakevohana, fisehoana ho mahay na ambony na manankarena noho ny hafa ka manambony tena noho izany; be rehaka, kevoka : Be ebo koa izany raha dlona! / Tsy tiako iny tovolahy iny fa ebo lahy loatra. - t.i.f. : Mieboebo, fieboebo, mpieboebo i ieboeboana, fieboeboana. ¶ M.h, : Eboebo, rehareha, edinedina, edikedika, ajokajoka, sehaseha, hakevohana. Be ebo, be beso, be vava, be rehaka, kasikasy, tia dera, tehoderaina, mampilahendrena, tia doka, doradora, lasanko vavany, tsy maty am-bavany, matavy an-delany, akoholahy fahavaratra, miajokajoka, mianjonanjona, mihambohambo, miehakehaka, mibohaka, miangiangy, midohaka, midohadoha, midokadoka, midihindihina, miadonadona, miadokadoka, mihadrahadra, miedinedina, miedikedika, mie taketaka, mideronderona, mirehaka, mirehareha, mibohy, miaingitraingitra, midehadeha, misehaseha, mitehateha, miaingiaingy, misandratsandratra, misavoamboana, mievotrevotra, mitehintehina, miiaiiay.
 Ahitsio"
"Ede"," Edede ft. : Entina manakora ny olona mampiseho toetra na fihetsika tsy fanao ampahibemaso : Edede! olona tsisy oarany izany marina! - t.i.f. : Ededena, voaedede / manadede, fanadede, mpanadede / anededena, fanededena.
 Ahitsio"
"Ededena"," (edede) mt.ih. (ededeo) : Akoraina, tebahina : Ededena ny olona tsy valahara.
 Ahitsio"
"Edena"," (fr. eden) a. : Toerana mahafinaritra izaitsizy honenana; paradisa na paradizy.
 Ahitsio"
"Edikedika"," a. : Famindra na fihetsika mampiseho fiheveran-tena ho zavatra; fandeha mampiseho fireharehana. i t.i.f. : Miedikedika, fiedikedika, mpiedikedika / iedikedehana, fiedikedehana.
 Ahitsio"
"Edinedina"," a. : Mitovy amin'ny Edikedika. - t.i.f. : Miedinedina, fiedinedina, mpiedinedina / fiedinedenana, iedinedenana.
 Ahitsio"
"Editay"," t.p. : Eisy,isy! : Editay ! mandehana any !
 Ahitsio"
