"word","definition"
"G"," Tarehintsoratra fahenina ary renisoratra fahefatra amin'ny abidy malagasy, mitonona hoe ge na gy."
"Ga"," (fr. gant)a:Fonon-tanana, vita amin'ny lamba na hoditra: Gan-tanana fotsy. / Manao ga."
"Gabaka"," llazana toerana foana na be rano mangeniheny. i t.i.f.: Mangabaka / migabaka, figabaka / igabahana, figabahana."
"Gaboka"," a.: Antontan-javatra, zavatra mifanongoa. - t.i.f.: Agaboka / managabokalfanagabokalanagabohana, fanagabohana / migaboka, figaboka, mpigaboka / igabohana, figabohana / mahagabokalgabogaboka."
"Gaboraraka"," (f.t.m.) p.mt.: Enti-milaza zavatra na asa vita tsisy fitandremana, tsisy kitotony."
"Gadanà"," a.: Jer. Kadana. "
"Gadona"," a.: Jar. Ngadona."
"Gadra"," a.: Rojo vy ampiasaina hamatorana olo-meloka na biby, na hatao hidim-bavahady, hidin-dalana. Tranomaizina, fahababoana. i t.i.f.: Agadra, gadrana, voagadra, ginadra 1 managadra, fanagadra, mpanagadra / anagadrana, fanagadrana 1 migadra, figadra, mpigadra I igadrana, figadrana / mahagadra."
"Gadrafohy"," a.Jer,: Gadralava."
"Gadragadra"," a,: Fihararetrana feon'olona toy ny vaky na feon-javatra toy ny mitriatra nony voadona, tsy mikarantsana fa toa mitriatra. • p. t.: Mihararetra toa vaky, farimparina: Gadragadra ny feonao izany. - t.i.f.: Agadragadra I migadragadra,figadragadra."
"Gadragadra"," a.: Karazam-borona (Pteroeles)."
"Gadraka"," a. sy p.t.: Mit, hev. amin'ny Gadragadra. - t.i.f.: Agàdraka / migadraka,figadraka."
"Gadralava"," a.: Enti-milaza ny olo-meloka voatana ao antranomaizina. (Io teny io dia nilazana fahiny ireo mpigadra nisy gadra amin'ny vozony sy ny tongony, izay natohin'ny anja-by lavalava ka afaka mihetsiketslka eran' ny efitrano nisy azy ihany izy imeo). Ny Gadrafohy kosa dia ireo misy gadra namatotra nisaraka ny tongony roa, ary fohy nifanakaiky ireo gadra ireo ka zara raha afa-namindra ny tongony."
"Gadrana"," (gadra) mt. ih. (gadrao): Fatorana amin'ny gadra: Gadrao io alika io sao mandositra. ? Tanana antranomaizina: Nogadrana omaly izy noho ny heloka vitany,"
"Gaga"," p.t.: Mihetsi-tsaina amam-panahy eo anoloan'ny zavatra tsy fahita andavanandro na tsy nampoizina, amin' ny lafiny tsara na ratsy: Gaga anao aho. / Gaga ny nataonao aho na gaga amin'ny nataonao aho. / Gaga aho raha sahy nanao izany Rakoto. I t.i.f.: Migaga, figaga I igagana, figagàna 1 mahagaga I fahagagana 1 gagagaga. ¶ M.h.: Dagaga, dogaga, talanjona, tolagaga, tokaka, vaky vava, zendana, variana, sondriana, revo, renoka, kepoka, vakim-baratra, ilatsaham-baratra, gaina foana, kehana foana."
"Gagaka"," a.: Jer. Gaka."
"Gagilahy"," p.t.: (fahasimban'ny hoe gigalahy): Kingalahy, famantsilahy, sifotra antitra."
"Gaigy"," na Gegy a.: Romotra: Alika gaigy. 1 Misafoaky ny hatezerana: Olona gaigy na gaigin'olona. i tif: Gegena I managaigy, fanagaigy, mpanagaigy / anagegena, fanagegena I mahagaigy I gaigigaigy."
"Gaika"," a.: Famihinana na fanerena mafy, fangiazana amin' ny kofehy tsy misy hikofohana. ~ H.o.: Fangiazana antrano tsy hivoaka, fanerena 'blasa. - t.i.f.: Gehina / agaika,voagaika, noginaika / mangaika, managaika, fangaika, mpangaika / angehana, fangehana I migeha, figeha, mpigeha 1 igéhana, figehana / mahagehy / gaigaika."
