"word","definition"
"K"," Tarehintsoratra fahafolo ary renisoratra fahafito amin' ny abidy malagasy. Ny h no miova ho k amin'ny fanakambanan-teny: mihinana hena = mihinan-kena. Amin' ny famoronana mt. p. misy tovona man, dia alatsaka ny k amin'ny ft. ary dia akambana fotsiny amin'ny zanatsoratra manarakaraka ny man: man-kaikitra = manaikitra."
"Ka"," ppt.: Enti-mampitohy teny roa sady manisika ireto hevitra samihafa ireto: 1) Hevitra milaza fa vokatry ny asa voalazan'ny teny voalohany ilay faharoa: Nihazakazaka izy ka lavo. (Matetika no ia lohan'ny hoe ""hany"" ny ""ka"" amin'io hevitra io: Nihinam-boankazo manta izy hany ka narary kibo. 2) Ny hevitra hoe ""ary dia"": Ta hahita azy ianao ka io izy manoloana anao. 3) Ny hevitra hoe ""ary rehefa avy eo"": Nanatona azy izy ka nanao taminy hoe. 4) Ny hevitra hoe: ""nefa, tsy ara-ka ny nampoizina"": I Manga no nantsgina ka i Ako no namaly. • p.mt.: Famintinana ny hoe ""koa"" izay manan-kevitra hoe: ""noho izany, araks izany"": Maika a-ho ka izay hevitrao lazaina haingana / Efa vonona aho, ka amboary ny entanao fa hiainga isika. rt 1) Kian-teny kely fametraka eo aorian'ny teny entina toa mitanisanisa asa misesy: Nokapohiko ka, nodarofako ka, norehetako ka, tsy naveiako raha tsy nangorangorana; 2) ao aorian'ny fehezankevitra fohy, ka enti-milaza fiangaviana, fitalahoana: Ahy iny ka! Mifona aho ka!"
"Kaba"," a.: Loaka lehibe fasiana kavina amin'ny ravintsofina, na ny olona nasiana io loaka lehibe io ny ravin-tsofiny."
"Kabaka"," a.: Habetsahan-drano na rony. ~ Sakafo, hanina, vola maty: Ohatrinona aloha ny kabaka amin'io raharaha io? i+ t.i.f.: Mikabaka."
"Kabanty"," a.: Anarana ilazana ny angelivavy (atao koa hoe kabatita)."
"Kabaosy"," a.: Tanalahy resy an' ady. tt h, i. p.t.: Kanosa, tsy sahy miady, kivy ambony ihany: Kabaosy iakihy raha tsy sahy miady amin'io."
"Kabarina"," (kabary) mt.ih. (kabario): Lazaina ampahibemaso: Hokabarina rahampitso ny fakana miaramila. ? Tenenina, bedibedena: Nokabariny lava ilay ankizy ka lasa fa tsy tamana."
"Kabaro"," a.: Karazan-tsaramaso lehibebe ary fisapisaka, tsara tsiro, saingy toa mora mahavoky (Phaseolus lunatus L),"
"Kabary"," a: Teny lavalava voalahatra sy voarindra atao eo imason'ny olona tafavory: Fatratra izay kabary am-panambadiana tamin'ny fanambadian'ny zanak'anabaviko izay. 1 Fanambarana teny midfna: Efa nandalo teo ue i-1ay mpiantso kabary? • Levilevy, faniniana, anatra na teny lavareny: Aza itondranao kabary vao maraina aty izahay. 1 Fiampangana na fitoriana ataon'olona amin'ny tena eo amin'ny fitsarana, ady amin'ny fitsarana: Moa dia natao ho very va re aho ka narianao tamin-kabary? 1 Vaovao: Inona no kabarinao? (fandre indrindra amin' ny fitenim-paritany). 6 t,if.: Kabarina, akabary, voakabary 1 mikabary, fikabary, mpikabary I ikabariana, fikabariana 1 mahakabary 1 kabaribary. -  F-p.: Atao an-kabary: raharaha ifandinihana lazaina vory vahoaka. / Azon-kabary: enti-milaza olona ianjeran'ny fitoriana na fiampangan'ny lehibe. / Be kabary: ilazana ireo mimenomenondava sy mitaraindraina amin' itsy sy iroa, ka manao fanakianana isan'andro; mpanao resaka lava be mandany fotoana. J Kabary ambony vavahady: Fivavavavana foana amin'ny teny mirehidrehitra. / Kabarim-behivauy: ady hevitra sy fifandirana tsy misy farany. / Kabari-miaramila: teny na didy omena ny miaramila. / Kabarin-tsahona: fimenomenonana befahatany sady tsy misy fiafarany. /Kabary tsara mitsangana, kabary tsara lahatra: filazana am-bava feno hakingana sy hafetsena nef a matetika lainga sy fitaka fotsiny. / Kabary tsy efa: raharaha tsy misy fiafarany, mitarozaka hatrany hatrany, — raharaha manahirana tsy vita mora foana. I Kabary tsy mahavery olona, na anelakela-trano: raharaha ifandaminana an-trano fa tsy entina amin'ny fitsarana."
"Kabatita"," a: Anaran-kafa ilazana ny angelivavy, izay atao koa hoe kabanty."
