"word","definition"
"L"," Tarehintsoratra fahiraika ambin'ny folo ary renisoratra fahavalo amin'ny abidy malagasy. Ny L dia miova ho D amin'ny fanakambanan-teny: hevitra lalina = hevi-dalina.
 Ahitsio"
"La"," ft.: Tsy fetezanahanao, tohitra. - t.i.f. : Lavina / voala, tafala / mandà, fandà, mpandà 1 andavana, fandavana / mandandà. -  F.-p.: Mafy la: fatra-panohitramafy, mikiribibY rehefa mandà.
 Ahitsio"
"La"," a.: Ny feo fahenina amin' ireo ambaratongam-peo fito amin'ny gara a.
 Ahitsio"
"Labasy"," (fr. la bâche) a.: Lamba bakatraka, matevim-be, anaronana fiara na sambo, fa matetika koa ampiasaina hanaovana karazan-trano lay.
 Ahitsio"
"Labatoara"," (fr. l'abattoir) a.: Toerana natao hamonoana ny biby vonoina hohanina, amin'ny fomba ara-dalàna, sy fanamboarana ny henany.
 Ahitsio"
"Labiera"," (fr. la bière) a: Fisotro misy alkaola kely vita amin'ny karazam-barimbazaha atao hoe ""orge"", izay alona hamorivory mba hahatonga ny siramamy ao aminy ho alkaola, dia asiana ""houblon"" hampangidingidy ny tsirony sy hahamanimanitra ny fofony.
 Ahitsio"
"Laboratoara"," (fr. laboratoire) a : Toerana voatokana hanaovana fikarohana sy fanandramana momba ny fahaizana amam- pahalalana samihafa.
 Ahitsio"
"Laborosy"," (fr. la brosse) a.: Tsy fiteny intsony fa Borosy no ampiasaina ankehitriny.
 Ahitsio"
"Labozia"," (fr. la bougie) a.: Jiro vita amin'ny menak'omby na mena-biby hafa toy ny trozona, na savoka na parafina voaempo izay ampidirina andasitra ary asiana lahiny: Ma-nome hazavana malefaka dia malefaka ny labozia. -  F.-p.: Labozia gasy, labozia vazaha, labozia savoka. / Mitsatoka ohatra ny labozia: mijanona ela amin'ny toerana iray miandry olona. / Tain-d abozia: ilay zavatra mitsonika manaraka ny lavan'ny labozia izay avy amin'ny fiempoan'ny menaka rehefa mirehitra ny labozia.
 Ahitsio"
"Ladina"," a: Ny tahon'ny zavamaniry mananika amin'ny zavamaniry hafa: Miolakolaka ny iadim-boatauo. 1 Fampifanolanana na fanodidinana tady manodidina zavatra iray. 1 Lafika vita amin'ny fon-jozoro na amin'ny mololom-bary, izay mazàna amefena ny aty rindrin'ny lava-bary - t.i.f.: Ladinina,voaladina 1 mandadina, fandadina, mpandadina 1 andadinana, fandadinana / mifandadina 1 mahaladina.
 Ahitsio"
"Ladina"," (lady) mt. ih. (radio): A-nihina mikisaka: Noladin'ny marotanana ny tongony ka saika safotra izy.
 Ahitsio"
"Ladinina"," (radina) mt. ih. (ladino): Hodidinina, fadidirana: Ladinin'ny uahy ny hazo any an'ala. 1 Fatorana, akambana: Ladino ireto zozoro ireto hanaouana takelaka.
 Ahitsio"
"Ladinintrambo"," a.: Anaran'aretina mitovitovy amin'ny tandomerina, saingy mitsoriadriaka lavalava ny fivontosana aminy fa tsy mitapelapelaka vorivory. ¶ M.h.: Fadiditra.
 Ahitsio"
"Ladiresy"," (fr. l'adresse) a.: Tsy fiteny intsony fa Adiresy no ampiasaina ankehitriny.
 Ahitsio"
"Ladirina"," (laditra) mt. ih. (ladiro): Atao miadana dia miadana.
 Ahitsio"
"Ladirisy"," (Ski) a: Tady fampakarana sy famelarana ny lain'ny botry na samba.
 Ahitsio"
"Laditra"," a.: Tsy rototra sy mitaredretra, tsy maika fa toy ny milalao raha manao zavatra. i t, t f.: Ladirina, voaladitra / miladitra, filaditra , mpiladitra / iladirana, filadirana / mahaladitra / ladidaditra.
 Ahitsio"
"Ladoany"," (fr. la douane) a: Fadin-tseranana. 1 Sampan-draharaha maka ny fadin-tseranana.
 Ahitsio"
"Ladobo"," (fr. la daube) a.: Akoho na vorona tsy mivaky fa andrahoina mivongana amin' izao ao anaty lafaoro.
 Ahitsio"
"Lady"," ft.: Hafainganana, hakingana. 1 Hafainganana mandre, mahamasaka sakafo, hafainganan-tsaina. - t.i.f.: Malady / maladilady / mahaladilady / halady.
 Ahitsio"
"Lady"," a.: Fikisahana amin'ny tany, fananihana, fandehanana amin'ny tanana sy ny tongotra. 1 h.o.: Fandokadokafana tafahoatra. - t.i.f: Ladina, tafaladina / mandady, fandady, mpandady I andadiana, fandadiana / ladilady / miladilady, filadilady, mpiladilady I iladiladiana / mahaladilady.
 Ahitsio"
"Lafa"," (Tsm) a.: Karazam-bibikely fihinana mitovy amin' ny zanadandy, mipetraka anaty vatan-kazo.
 Ahitsio"
"Lafa"," a: Kiran-taretra.
 Ahitsio"
"Lafaoro"," (fr. le four) a.: Fitaovana voahodidin'ny afo, izay ametrahana ny hanina tiana ho masaka tsy mivantana eo ambony afo: Atao anaty lafaoro matetika ny akoho a-tao ladobo. / Fantsona nie tao hivoahan'ny setroka avy amin'ny fatana: Mipololdtra ny setroka auy ao anaty lafaoro.
 Ahitsio"
"Lafarana"," na Lafarina (lafatra) ma ih. (lafaro): Toherina.
 Ahitsio"
"Lafarinina"," (fr. la farine) a: Totom-barimbazaha. (Ny mangahazo na vary voatoto ho koba dia azo ambara ho lafarinin'ireny zavatra ireny).
 Ahitsio"
"Lafasana"," (lafy) mt.ih. (lafaso): Vidina mitamba-be: Nolafasako telonjato ariary ireo voankazo ireo.
 Ahitsio"
"Lafatra"," a.: Fifanoherana misy andaniny sy ankilany. - t.i.f.: Lafarana na lafarina, alafitra, voalafitra I mandafatra, fandafatra, mpandafatra I andafarana, fandafarana 1 mifandahatra / ifandafarana, fifandafarana / milafatra, filafatra, mpilafatra 1 ilaf ara-na, filafarana / mahalafatra / lafadafatra. -  F,-p.: Tia lafatra: tia mainpakatra ady amin'ny fitsarana. / Tay mila lafatra: tsy mi-la mpitsara fa manao mpitsara tena, manao teniko fe andriana, manao teny tsy valiana.
 Ahitsio"
"Lafatra"," a.: Ambaratongam-pahefana, fari-p ahef ana, laharana: Ny lafatry ny fanjakana 1 Lalàna mbamin'ny fomban-tany manan-kery toy ny lalàna, ary ny fankatoavana sy fanarahana azy: Tsy araka ny lafatra ny nataonao. • F,-p.: Tonga lafatra: tanteraka avokoa ny lalàna mbamin'ny fomban-tany momba ny zavatra iray: Tsy tonga lafatra ft? karatrao it? fa tsy uoatomboka sy tsy uoaisy sonia.
 Ahitsio"
"Lafaza"," a: Karazan-javamaniry fakana sirahazo.
 Ahitsio"
"Laferana"," a.: (Fahasimban'ny teny hoe Leferana) Ny ao ivohon'ny lohalika, izay mahazo milefitra. * Ohab.: Lohalika sy laferana: izay mandefitra no mandina: entina milaza fa izay mandefitra tian'ny olona no-ho izay miridiridy manao antratreva.
 Ahitsio"
"Lafihana"," (lafika) mt. pdr. (lafiho): Asiana lafika: Lafihana mololo ny entana fa man-do ny tany ipetrahany.
 Ahitsio"
"Lafika"," a: Izay rehetra atao ao ambanin'ny tsihy andriana, tahaka ny bozaka izany: Soloy ny lafik'it? fandriana it? fa efa fisaka loatra / Izay rehetra atao fanambanin-javatra mba tsy hahamafy ny fia-sana na ny fipetrahana eo amboniny: Asio lafika kely eto hanoratako. / Fisotro sotroina alohan'ny sakafo, na koa zavatra tsaldtsaky hanina alohan'ny handraisana zava-pisotro. / Zezika atao amin'ny tanimboly alohan'ny hamafazana ny voa na hambolena ny zavamaniry. - t.i.f.: Lafihana, alafika, voalafika, tafalafika I mandafika, fandafika, mpandafika 1 andafihana, fandafihana I milafika, filafika, mpilafika / ilafihana, filafihana 1 mahalafika llafidafika. -  F.-p.: Maitso lafika: entimilaza ny zaza fatra-panditsaka am-pandriana ka zary maitso hatrany amin'ny lafipandriana.
 Ahitsio"
