"word","definition"
"O"," Tarehintsoratra fahefatra ambin'ny folo ary zanatsoratra fahefatra amin'ny abidy malagasy. Ny zanatsoratra 0 dia mety hanana tonom-peo ""ao"" amin'ireto toe-javatra telo ireto ka amin'ireo roa farany dia asiana satrony (ô) ny fanoratana azy: a) amin'ny teny avy amin'ny fiteny vahiny: radio, sosisy; b) amin'ny teny fitenim-paritra sasantsasany: ny vôla (tsimihety); d) amin'ilay tenim-piontanana marina ""ô"": Tbmpo ô! -O. s. o.: Mpisolo anarana misolo olona izay tsy inona fa fifintinan'ny ko ihany fanao tovana amin'ny teny miafara ka - tra: ny soroko, ny ton-go tro.
 Ahitsio"
"O"," t.p.: Fanao eo aorian'ny anaran'olona antsoina ka italahoana, na anaran-javatra heverina ho toy ny olona ka itenenana: Tompo ô, mihanta aminao izahay!/Ry tanindrazanay malala ô.
 Ahitsio"
"Oa"," t.p.: Teny enti-mamaly antso tsy dia manaja loatra: Ry Koto a! —Oa!
 Ahitsio"
"Oaka"," (angl. oak) a.: Hazo vahiny lehibe izay mety hahatratra roapolo ka hatramin'ny efapolo metatra, fanaovana varavarana, fanaka, ngorodona, noho ny hamafisany; ny voany dia atao hoe voan'oaka.
 Ahitsio"
"Obonobona"," a.: Fibontsinan' ny lamba rehefa entina ka tsofin'ny rivotra. - t.i.f.: Obonobonina, aobonobona, voaobonobona, tafaobonobona / manobonobona, fanobonobona, mpanobonobona ) anobonobonana, fanobonobonana / miobonobona, fiobonobona, mpiobonobona / iobonobonana, fiobonobonana ) mahaobonobona.
 Ahitsio"
"Obonobonina"," (obonobona) mt. ih. (onobobdny): Bontsinina; saronana na sakobonina ao anaty lamba.
 Ahitsio"
"Odiambavafo"," a.: Sakafo maivana vao maraina. ¶ M. h.: Odilolo.
 Ahitsio"
"Odiana"," (ody) mt. ih. (odio): Atao ohatra ny...: Mahagaga fa odian-dRakoto tsy hita aho rehefa mifanena aminy eny an-dalana izahay.
 Ahitsio"
"Odiana"," (ody) mt. ih. (odio): Asiana ody, sitranina: Efa latsa-paka ny aretina ka tsy azo odiana intsony.
 Ahitsio"
"Odiandro"," a.: Kitozamaina avy amin'ny omby nangalarina izay totoina ho vovoka, dia ampifangaroina amin'ny rano mba hampandroana zaza (fomba fanao amin'ny foko sasantsasany).
 Ahitsio"
"Odilolo"," a.: Sakafo maraina, odiambavafo.
 Ahitsio"
"Odina"," a.: Komy, tsy fanekena ny fahefana. - t.i.f.: Aodina, voaodina, tafaodina I miodina, fiodina, mpiodina ) manodina, fano- dina, mpanodina / anodinana, fanodinana.
 Ahitsio"
"Odovy"," a.: Anaran-daharan-tsikidy milaza loza na tsy fanambinana. 1 h.o.: Fahavalo.
 Ahitsio"
"Odray"," t.p.: Enti-milaza figagana, fahatairana: Odra! fahalauoana re izany!
 Ahitsio"
"Ody"," ft.: Tsy fampiasa mande-ha irery, fa ny hevitra mety hananany amin'ireo sampanteny dia: a) fiverenana any amin'ny tanàna na trano onenana na any amin'ny tany niaviana; — b) fisehoana ho manana toetra na ho manao asa eo imason'ny olona nefa tsy marina. - t.i.f.: Tafody I mody, fody, mpody / odiana, fodiana / mimpody I mitampody.
 Ahitsio"
"Ody"," a.: Tapa-kazo na zavatra hafa, toy ny vakana, eken' ny olona sasany ho manankery hitondra soa na hisakana loza rehefa tokavina: Finoanoam-poana ny mankamasina ny ody. ? Zavatra entina manasitrana, fanafody (izay tsy inona fa ""fana-fana ody"" no niaviany): Ody folaka mahomby ny tsimpimpina. - t.i.f.: Odiana ) miody, mpiody I iodiana, fiodiana.
 Ahitsio"
"Ofaka"," a.: Jar. Hofaka.
 Ahitsio"
"Ofana"," a.: Fanamafisana metaly vao notefena, izay asoka ao anaty rano na diloilo mangatsiaka rehefa avy nodorana mivaingana. - t.i.f.: Aofana, voaofana / manofana, fanofana, mpanofana / anofanana, fanofanana / miofana, fiofana, mpiofana / iofanana, fiofanana / mahaofana.
 Ahitsio"
"Ofika"," (Bts) a.: Karazan'ovy mangidy fahita any anaty ala.
 Ahitsio"
"Ofisialy"," (fr. officiel) p.t.: An' ny fanjakana: Natokana ho an'ny antokon'olona offsialy ny toerana eto ka mialà teto ianao. (t Enti-milaza izay rehetra vaovao avoakan'ny fanjakana: Araka ny tarehi-marika ofisialy dia toy izao ny isan'ny ""eny"" sy ny ""tsia"" tamin'ny fitsapana hevi-bahoaka farany tao. ~ Enti-milaza zavatra neken'ny fanjakana ny fijoroany ka efa navoaka ho fantatry ny be sy ny maro: Ny teny malagasy ofisialy.
 Ahitsio"
"Ofo"," a.: Fiovan'ny hoditra na fihintsanan'ny volon'ny vorona; fahalasanan'ny rano ny lokon-damba na fiovan'ny loko nony voan'ny hainandro. - t.i.f.: Miofo, fiofo, mpiofo / iofoana, fiofoana / manrpiofo 1 mahaofo.
 Ahitsio"
"Ofo"," a: Teny enti-milaza ny fahefana na hasin'ny fanafody na ny sampy.
 Ahitsio"
"Ofony"," a: Ilay hofakofaka na hoditra miendaka ka miala rehefamiofo ny biby mfofo.
 Ahitsio"
"Ofy"," a.: Vaofy, fanalana hoditra voankazo, hoditra vodinjavamaniry toy ny mangahazo. - t.i.f.: Voaofy / miofy,fiofy, mpiofy / iofiana, fiofiana / mahaofy / ofiofy.
 Ahitsio"
"Ohabolana"," (ohatra-volana) a.: Teny atao an'ohatra hilazana hevitra: oh. Vil)), nanitrika ka bongo mason'ny nahiny, izay ilazana an'ohatra ny olona voan'ny nataony ihany. (jer. Fitenenana).
 Ahitsio"
"Ohaka"," a.: Endaka, fanendahana ny miraikitra. - t.i.f,: Miohaka, fiohaka, mpiohaka 1 iohafana, fiohafana / mampiohaka, fampiohaka, mpampiohaka 1 ampiohafana, fampiohafana / ohakohaka.
 Ahitsio"
"Oharina"," (ohatra) mt. ih. (ohary): Ampitahaina: Tsy mety aho fa oharinao amin'ny ondry ny zanako. ? Refesina: Ohary amin'ity kofehy ity ny lohanao hiuidianako satroka ho anao.
 Ahitsio"
"Ohatra"," a.: Fakan-tahaka: Ireto soratra ireto no omeo hataon'ny mpianatra ohatra rehefa manoratra izy. / Manomeza oha-pitondran-tena tsara ianareo mpitondra. ~ Sary vita amin'ny taratasy izay akana tahaka antin'ny didin'akanjo hatao: Ento any amin'ny mpanjaitra ity, fa ity no ohatr'ilay akanjo hodidiana ho any. 1 Filazana an-tsary, fanoharana: Sary an'ohatra no anaouana ny olona saro-tahotra hoe ""rano an-dravina"". ? Zavatra foronina mba hanazavana na hanamarinana fitsipika na hevi-teny iray: Manomeza ohatra iray momba ny fisintonan'ny tany ny zavatra rehetra halauitina azy. • Andrana: Nataoko an'ohatra fotsiny iny kabary iny fa tsy iny akory no tena izy. - t.i.f.: Oharina, aohatra, tafaohatra, voaohatra 1 manohatra, fanohatra, mpanohatra / anoharana, fanoharana / mahaohatra / ohatrohatra. -  F.-p.: Oha-dia: fandrefesana amin'ny dian-tongotra. 1 Manoha-dia: 1) mandrefy amin'ny dian-tongotra — 2) mitady hitovy na hifaninana amin'ny ambony. I Oha-jaza: fombafomba arahina amin'ny fanaovana hasoavana raha maromaro ny zaza tsongoina: alahatra arakaraka ny halavany izy ireo ka volotara no andrefesana azy; tapahina izay mihoatrany lohan' ny tsirairay avy ka izany no amantarana izay lava sy fohy amin'izy ireo. J Oha-teny: fampisehoana teny mirindra sy tsara lahatra. / Tapitra ohatra: lavorary ka tsy misy sahala aminy amin'ny hatsarana.
 Ahitsio"
"Ohatra"," ny ppk.: Enti-milaza ny fitoviana ara-pampitahana, ara-tsary: Miolikolika ohatra ny bibilaua ity renirano ity. / Ohatra an-dRaibeny ity zaza ity. (Misy manoratra ity teny ity ""hoatra""; raha ny marina, dia teny iray ihany ity ppk. sy ny anarana ohatra fa ny tsindrimpeo fotsiny no samy hafa toerana, mitovy tsy misy valaka amin' ny tahaka sy tahàka; araka izany, dia tsy tokony ho namoronana teny iray vaovao hafa hatao ppk. fa ny anarana ohatra ihany dia ampy). ¶ M. h. Ohàtra: Tahàka, mitovy, mova tsy, ary koa ireo mitovitovy hevitra aminy; sahala amy, toy ny, toa.
 Ahitsio"
"Ohatrinona"," p. mt.: Enti-manontany ny vidin-javatra: 0-hatrinona no uidin'iny manga iray kilao iny?
 Ahitsio"
"Oho"," (Ski) a.: Karazam-botry manao ny tranony eny aniln' ny hazo.
 Ahitsio"
"Ohona"," a.: Mitovy amin'ny Hohona. 0 - I - E a.: Hira na antsoantsom-pifaliana ataon'ny ankizy rehefa manao harendrina amin'ny Fandroana.
 Ahitsio"
"Ohy"," a.: Mitovy amin'ny hohy.
 Ahitsio"
"Oirina"," (oitra) mt. ih. (oiro): Aingaina mba hipoitra: Noiriny amin'ny bora uy ilay vato uao afaka.
 Ahitsio"
"Oitra"," a.: Fanaingana zavatra mba hipoitra, ezaka hipoitra, fanaovana izay hitrakana. i t.i.f.: oirina, aoitra, tafaoitra 1 manoitra, fanoitra, mpanoitra 1 anoirana 1 mioitra, fioitra, mpioitra 1 infra-na, fioirana / mahaoitra / oitroitra.
 Ahitsio"
"Okitra"," a.: Ezaka mafy, fikelezana aina. - t.i.f.: Miokitra, fiokitra, mpiokitra 1 iokfrana, fiokirana / okitrokitra. 0ko a.: Komy, firaisan-kevitra hanao teti-dratsy. - t.i.f,: Mioko, fioko, mpioko 1 iokoana, fiokoana.
 Ahitsio"
"Oksizena"," (fr. oxygène) a.: Karazana gazy hita betsaka indrindra eo amin'ny zavaboary, izay mandoro ka mitera-ka hafanana; ny oksizena dia ilain'ny zavamananaina amin'ny fiainany fa mandoro ny loto ao amin'ny rany (ampahadimin'ny rivotra amin'ny atmosfera ny oksizena).
 Ahitsio"
"Oktobra"," (fr. octobre) a.: Anaran'ny volana fahafolo airain' ny taona, misy andro 31.
 Ahitsio"
"Ola"," ft.: Jar. Maola.
 Ahitsio"
"Olaka"," a.: Fiviliana, fisafelehana, fandehanana tsy manaraka ny mahitsy. - t.i.f.: Aolaka, voaolaka, tafaolaka / manolaka, mpanolaka / anolahana, fanolahana / miolaka, fiolaka, mpiolaka / iolahana, fiolahana f mahaolaka / olakolaka.
 Ahitsio"
"Olana"," a.: Randrana, fifadidirana: Tsy haiko vahana io olana io fa mifadiditra aoha izany. 1 Fanodinan-javatra miankavia ny ilany, miankavanana ny ilany: Tsy laitra olana ity lamba ity fa henjana.l Fisaritahana, fisafotofotoan-javatra: Misy olana saro-bahana amin'io raharaha io. - t.i.f.: Aolana, tafaolana, voaolana / manolana, fanolana, mpanolana / anolanana, fanolanana / miolana, fiolana, mpiolana / iolanana, fiolanana J mahaolana / mifanolana / olanolana J mifanolanolana. • F.-p.: Azo olan-tanana: tratra eo am-panaovana halo-ka na haratsiana. ¶ M. h.: Tra-tehaka, tratra ambody omby. / Mahazaka telo olana: tady natao randran-telo. ? h. i.: Enti-milaza zavatra mafy. / Olan-teny: teny sarotra ilam-panazavana. J 0-lam-pandriana: ilazana ny hatoka nioritra teo am-patoriana fa voatsindry ka somary miolana maharitra. / Olampototra: ilazana ny vary naketsa ka maniry sady mahavokatra be dia be ny solofony sy ny sakeliny. * Ohab.: Manan-joky afaka olan-teny, manan-jandry afaka olan' en tana: ohabolana mamaritra ny anjaran'ny zoky sy ny zandry tsirairay avy, fa ny zoky misolo vava eo amin'ny resaka atao ary ny zandry mitondra ny enta-na raha misy dia iarahana.
 Ahitsio"
"Olatra","fery na ratra efa sitrana sy afa-takompery ka mamela faritra tsy maharary intsony.
Oh: ireo no bekotro maro olatra
 Ahitsio"
"Olerina"," (outra) p.t.: Misy olitra.
 Ahitsio"
