"word","definition"
"P"," Tarehintsoratra fahadimy ambin'ny folo ary renisoratra fahiraika ambin'ny folo amin'ny abidy malagasy. Amin'ny fanakambanan-teny, ny f miova ho p: sarotra fantarina = saro-pantarina.
 Ahitsio"
"Pahina"," p.t.: Tsy mahita afatsy ny akaiky, fohy maso. ? h.i.: Olona tsy mahita izay tadiaviny, tsy mahita ny ambany maso.Mahapahina / pahimpahina / mipahimpahina, fipahimpahina, mpipahimpahina / ipahimpahinana, fipahimpahinana.
 Ahitsio"
"Paika"," a.: Feo re avy amin' ny zavatra mifandona. • Fidona, fanapoahana amin'ny tanana na hazo: Paika kely foana dia ampy hampandeha io masinina io. 1 Tefy (vato): Vato tsara paika. 1 Fandehanana (amin'ny lalao fanorona), fifindran'ny vatom-panorona rehefa mihinana, ka mankeo amin'ny toerana tiany: Anao izao ny paika. ? h. o.: Tetika ampiasaina, tetikady: Paika fotsiny ny azy. -  F,-p.: Diso paika: tsy nahay nandeha na nahay tetika ka resy na voa. /Tsontsampaika ka matim-bela: diso famindra ka niharam-pahavoazana. / Paik'afo: fomba faluna afo amin'ny vato roa izay ampifampikasohina dia miteraka afo; tsy vato roa ihany no azo atao toy izany, fa tapa-kazo kely roa koa toy ny tahon-tseva, ohatra, izay ampifandilorina dia midona-tsetroka. / Pai-bato: fipehana ny vato amin'ny tantanana hanamboarana azy araka izay noheverina. / Paidoha: fipehana amin'ny loha — ilazana koa ny biby izay misy fotsy kely eo amin'ny handriny. J Paik'andro: ny andro nifanarahana sy efa nifanekena. / Diso paik'andro: tratra aoriana amin'ny fotoana efa nifanekena. /Maty paik'andro: fandoavana vola noho ny fahadisoam-potoana efa nifanekena. / Paipanorona: famindrana ny vatom-panorona ho eo amin' ny toerana azo antoka. JMaty paika: tsy afa-mihetsika intsony ny vatom-panorona any an-kilany, ka resy. ? h. i.: Vita na voakendry tsara amin'ny tokony ho izy. J Malemy paika: enti-milaza ny olona tsy mba maka mahery fa miteny na mihetsika mors sy milamina. ¶ M.h.: Dona, poka, gona, katroka.
 Ahitsio"
"Paikompaikona"," na Paikopaiko a.: Tsipaikona.
 Ahitsio"
"Paina"," a.: Vely, vono, levilevy. d, t.i.f.: Painana, voapaina.
 Ahitsio"
"Painana"," (paina) mt. ih. (paino): Velesina, vonoina, levilevena.
 Ahitsio"
"Painga"," p.t.: Kinga, faingan-tanana, matselaka, mailaka. / t.i.f.: Mahapainga.
 Ahitsio"
"Paingo"," na Parapaingo a.: Vy mavesatra miaraka amin'ny gadra; fatotra iray avy amin' ny tongotra roan'ny vorona, izay akambana mitohy. - t.i.f.: Paingoina, voapaingo j manapaingo, fanapaingo, mpanapaingo J anapaingoana, fanapaingoana J mipaingo, fipaingo, mpipaingo / ipaingoana, fipaingoana j miapaingo / iapaingoana, fiapaingoana / mahapaingo j paingopaingo.
 Ahitsio"
"Paingoina"," (paingo) mt ih. (paingoy): Gadrana, atao am-ponja.
 Ahitsio"
"Paingorina"," (paingotra) mt. ih. (paingory): Tanana amin'ny paingotra: Paingory amin'ny rindrina ity sary ity.
 Ahitsio"
"Paingotra"," (fr. épingle) a.: Vy marani-doha mitovitovy halehibe sy halava amin'ny tsilon-draiketa ary misy motiny kely ny vodiny, atao fanakambanana taratasy, fitanana akanjo na fametahana sary amin'ny rindrina. - t.i.f.: Paingorina, voapaingotra / manapaingotra, fanapaingotra, mpanapaingotra j anapaingorana, fanapaingorana j mipaingotra, fipaingotra, mpipaingotra J ipaingorana, fipaingorana / mahapaingotra, paingopaingotra. -  F.-p.: Paingo-jaza: v va-lava nafolaka, natao hrranana lamban-jaza indrindra.
 Ahitsio"
"Paiso"," (fr. pêche) a.: Hazo fihinam-boa, izay matsiro sady be ranony ny voany ary misy taolany: Tafatsiry indray ny maitso / Eo an-tokotaninay / Rako-pelana ny paiso / Mavokely ranoray. (Dox)
 Ahitsio"
"Paka"," a.: Kiran-javamaniry mitovy amin'ny taretra fanaovana gony.
 Ahitsio"
"Paka"," p.t.: Kitsokitso na tsokitsoky loha: Pa-tendro ir? tendrombohitra -  F.-p•: Paka lelo: mikirazorazo toa marani-doha eo ambony molotra ny lelo: Zaza paka le1o.
 Ahitsio"
