"word","definition"
"R"," a.: Tarehintsoratra fahenina ambin'ny folo ary renisoratra faharoa ambin'ny fo-Io amin'ny abidy malagasy. Amin'ny fanakambanan-teny, ny r dia lasa dr: tapaka roa = tapa-droa; toy izany koa raha mitovona man mba hanaovana matoanteny: man+ ray =mandray,"
"Ra"," a.: Zava-mihanankanana na ranoka menamena mikoriana eran'ny tenan'ny olombelona sy ny biby ka mamelona azy ary mivoaka amin' ny nofo velona raha voadidy, ? F,-p.: Lany ra, kely ra na tsy ampy ra: enti-milaza ny olona izay kely ny ra amin' ny tenany ka osa sy reraka izy, / Mandeha ra na mandara: mivoaka ra. / Tsy mandara: h,o. tsy mangoraka olona, mafy fo. / Mibaba ra: enti-milaza ratra mivoaka ra be dia be. / Maria ra: mana-na toe-dra sarotra ajanona rehefa mandeha. / Misondrodra: miakatra any an-doha ny ra, h.o, tezitra izaitsizy. / Ra velona: ny ra mikoriana amin'ny tena velona. / Ra otrika: ra maloto mivoaka avy ao anatin'ny vay tsy vaky, ohatra. J Vongan-dra: vaingan-dra kely mihandrona. / Avy ra: avy fotoana isam-bolana. / Lalan-dra: fantsona ifamezivezen'ny ra manerana ny tena. / Liandra: mpandatsa-dra olona sady tia ady. / Maimbo ra: ilazana ny fahatezerana mihoapampana sy fitadiavana hamaly faty. / Mihosin-dra: feno ra avy amin'ny ratran' ny tena ihany na avy amin' ny an'ny hafa — entina milaza koa ny olona nahavita heloka tamin'ny famonoana olo-marina. / Mijananaka ny ra: mandeha tsy miato noho ny halehibe na halalin'ny ratra ny ra. / Nofo aman-dra: enti-milaza ny toetran'ny olombelona mora mihontsina na malemy. / Somampy ra: mihamena ny maso sy ny endrika manontolo ahitana taratry ny hatezerana. / Vaky ra: mivoa-dra noho ny ratra amin'ny tena."
"Ra-"," Mpanoritra anarana zary tovona eo alohan'ny anarantsamirery milaza olona, indrindra amin'ny foko anivon-tany, ka atao ho maripanajana, mifanohitra amin' ny f: Rakoto, Ikoto."
"Raba"," na Rabaraba a.: Fandehandehanana atsy sy aroa tsy misy fieritreretana, tsy misy kitotony; fanaovan-javatra tsy amim-piheverana, kitoatoa. - t.i.f.: Rabarabaina, arabaraba, voarabaraba, tafaraba• raba / mirabaraba, firabaraba, mpirabaraba j irabarabana, firabarabana / maharabaraba. -  F.-p.: raban-tsahona: faon' ny sahona mihoraka; h.o.: fikorontanana noho ny tsy fisian'ny mpitondra fa samy manao izay tiany ny olon drehetra. M.h,: fanjakana raban-tsahona, fanjakan'i Baroa, tany manjaka hova."
"Rabahina"," (rabaka) mt. ih. (rabaho): Tsofohana amin-kasahiana."
"Rabaka"," a.: Fidirana an-kasahiana amin-javatra iray, fanaovan-javatra an-kasahiana be loatra, fitsofohana ao anaty... - t.i.f.: Rabahina, arabaka, voarabaka, tafarabaka / mandrabaka, fandrabaka, mpandrabaka / andrabahana, fandrabahana / mirabaka, fixabaka, mpirabaka / irabahana, firabahana / maharabaka / rabadrabaka."
"Rabaraba"," a.: Voalavo: Taindrabaraba. (Ny tain-drabaraba dia nolazain'ny Ntaolo ho mahamora na manafaingana ny fihetsehan-jaza ho an'ny vehivavy miteraka)."
"Rabaraba"," (Ski) a.: Fivelatry ny ravin-javamaniry raha vao mitsiry."
"Rabarabaina"," (rabaraba) mt. ih. (rabarabao): Atao tsy amimpiheverana."
"Rabatra"," a.: Dimbana atao amin'ny tolam-baravarana mba hidiran'ny lelavaravarana."
"Rabevoina"," a.: Teny tsy manaja loatra iantsoana olona efa maty, izay matetika atao hoe Itompokolahy na Itompokovavy: Iza no tsy mahatsiaro ny nataon-dRabevoina Ranona? * Ohab.: Raha rainao ataonao hoe Itompokolahy dada; fa raha raiko kosa, Rabevoina rainao: enti-milaza fiangarana amin'ny fitenenana ka raha an'ny tena soasoavina, fa raha an'n- hafa bantibantina."
"Rabitro"," (angl. rabbit) a.: Jar. Bitro."
"Raboha"," (fr. rabot) a.: Fiasana famankonana hazo."
"Raboka"," a.: Kilalaon'ankizy isehoan-kakingana sy hafainganam-pandeha: misy ankizy iray izay atao hoe boka; manenjika ny ankizy rehetra eo izy, ka izay voakasiny dia boka misolo azy indray. Indraindray kosa anefa raha mitaingim-bato ireo enjehina, na toerana voatondro tsy hahaboka, dia tsy boka na dia voakasika aza: atao hoe tsibohaboka ny anaran' ilay kilalao amin'izany."
"Raboka"," a.: Aretin'ny havokavoka avy amin'ny bibin'aretina atao hoe basila Koch."
"Rada"," na Radarada a.: Fitenitenenam-poana tsy misy antony; firediredena. ? Fitenenana miahotrahotra. - t.i.f.: Radaradaina, aradarada, tafaradarada / mirada, firada, mpirada; miradarada, firadarada, mpiradarada I iradaradana, firadaradana / maharada / maharadarada."
"Radarada"," (Ski) ft.: Halavana. I t.i.f. : Miradarada."
"Radaradaina"," (radarada) mt. th, (rad aradao) : Itenitenenampoana tsy misy antony."
"Radio"," (fr. radio, izay fanafohezana ny hoe radiodiffusion (a) na radiographie (b): a) fandefasana onja tsy hita maso atao hoe onja ""hertzien-ne"", izay azo avadika ho feo ka entina hilazana vaovao, na tantara na lahateny: Tsy nihaino radio aho aninaraina. b) fitarafana zavatra tsy tantera-pahazavana, toy ny no-fo, taolana, ka ahazoana mitsabo faritra marary any anaty:Efa natao radio ny tongo- ny tapaka."
