"word","definition"
"S"," a.: Tarehintsoratra fahafito ambin'ny folo ary renisoratra fahatelo ambin'ny folo amin'ny abidy malagasy. A-min'ny fanakambanan-teny, ny s dia lasa ts: Zavatra soa < zavatsoa. Amin'ny fitovonana man- mba hanaovana matoanteny kosa, ny s manomboka fototeny dia latsaka fotsiny amin'izao: Man+ soratra = manoratra."
"Sa"," ppt.: Ampiasaina hisolo ny ""na"" raha manontany, ka araka izany, dia entina hampisafidy amin'ny zavatra roa: Inona no tianao, zanaka sa harena?"
"Sa-"," Tovona fanaovana fototeny faharoa milaza asa misy fihetsehana: Sabaka (baka), safelika (felika)."
"Saba"," a.: Vilany be vava boribory fandrahoana vary."
"Sababa"," na Sababaka p. t.: Lehibe, malalaka loatra tsy mifanentana amin'izay nanaovana azy: Sababaka loatra iny satroka iny ho anao."
"Sabadiana"," (Btm) a.: Vehivavy fohy, kely reny."
"Sabaka"," a.: Fampihatahana na fampanalavitana ny tongotra roa. • hi.: 1) Ilazana ny hazo misampana roa; 2) A-naran-tsilalaon'ankizy izay misy efitrefitra ka asabaka ny tongotra roa mba tsy hanitsaka ny soritra mampisaraka ireo efitrefitra ireo. - t.i.f.: Sabakaina, asabaka, voasabaka, tafasabaka / manasabaka, fanasabaka, mpanasabaka / anasabakana, fanasabakana / misabaka, fisabaka, mpisabaka / isabakana, fisabakana / mahasabaka % sabakabaka."
"Sabakaina","(sabaka) mt. ih. (sabakao): (tongotra) Ampihatahina."
"Sabata"," (angl. sabbath) a.: Ny andro fahafito na andro fitsaharana teo amin'ny Jiosy ; Sabotsy amin'ny herinandro malagasy ary andro fahafito,  Ahitsio"
"Sabatra"," a.: Fiadiana misy lelany lava maranitra, izay mahitsy na mivolantsinana mihantsika, fa ny fitanana azy mifaingoka sy fohy. -  F.-p.: Tranon-tsabatra: ny fonon'ny sabatra."
"Sabebaka"," p. t.: Teny ilazana endrika sady lehibe no mitapelaka: Sabebaka endrika (fiteny koa ny hoe tabebaka endrika). • f. t. m.: Ilazan' ny olona koa ny vehivavy lehibe ny fitombenany mba hanarabiany azy."
"Sabilahina"," (sabilaka) mt. ih. (sabilaho): Roritina hatraiza hatraiza."
"Sabilaka"," p.t.: Tsy mahitsy tsara fa misompirana sy vilambilana, enti-milaza zavatra mifaraingo na mibaraingo ary tsy mahitsy (jar. Bilaka, sobilaka). - t.i.f. : Sabilahina, voasabilaka, tafasabilaka 1 manasabilaka 1 misabilaka 1 mahasabilaka / aabilabilaka."
"Sabobaka"," p. t.: Mivonto be, mizihitra — Enti-milaza koa ny faty efa mivonto ka mangonahona. - t.i.f. : Misabobaka, fisabobaka, mpisabobaka."
"Saboboka"," p. t.: Mivonto be, mibibaka sahala amin'ny zavatra vonto rano, bobo-drano; enti-milaza koa ny zavatra nosesehana rivotra na rano ka niavovona sy tonga lehibe. ¶ M. h. : Mizihitra, mivozihitra."
"Sabodehina"," (sabodika) mt. ih. (sabodeho): Saritahina, korontanina."
