"word","definition"
"T"," a.: Tarehintsoratra fahavalo ambin'ny folo ary renisoratra fahefatra ambin'ny folo amin'ny abidy malagasy. A-m?n'ny fitovonana man- mba hanaovana matoanteny, ny t manomboka fototeny dia latsaka fotsiny amin'izao: Man-taitra >manaitra."
"T-"," Tovona fametraka eo alohan'ny teny sasantsasany (mpamaritra matoanteny na teny mpampiankin-teny milaza fotoana na toerana) ka mahatonga azy ireo hanambara ny efa lasa: aloha - ta-loba; aiza - taiza; eto - teto; amin'ny - tamin'ny."
"Ta"," a.: Ny feo heno avy amin' ny fidonan'ny fively na ny zavatra roa mifampipoka, na teny enti-milaza ny fipiakan' ny hazo tapaka ka mamoaka feo mirefotra eo am-pianjerana."
"Ta"," a.: Fanahafana feon-javatra toy ny an'ny tantanana mipaika amin'ny hazo, basy mitefoka, sns..."
"Ta"," na Te: Fanafohezana ny ""Tia"", izay apetraka eo alohan'ny mt. milaza faniriana hanao ilay asa lazain'ny mt., ka ny Ta no ampiasaina raha manomboka amin'ny Ha ny milaza ny ho avin'ilay mt. ary ny Te raha manomboka amin'ny Hi na Ho: Ta hatory, Te hisotro, Te hody."
"Ta-"," Tovona mahaforona teny vaovao rehefa atambatra amin'ny fototeny voalohany na faharoa sasany, ka manamafy ny hevitr'ilay teny voalohany, na manome endrika toa benahaona azy: Boretaka manjary taboretaka, bonaka tonga tabonaka."
"Taba"," a.: Korontana, fitsako sy fambosibosika eo am-pihinanana. - t.i.f.: Tabaina, voataba / mitaba, fitaba, mpitaba / itabana, fitabana / mahataba /, tabataba."
"Tabaina"," (taba) mt ih. (tabao): Akorontana: Notabain'i Fara kely ny bokiko rehetra teo ambony latabatra. ? Lotoina amin'ny fitsabahana amin'ny tanana: Aza tabainareo ny rano ao am-pantsakana. ? Hanina amim-piosanosanana: Mahasosotra ny mijery ireto ankizy ireto fa tabainy ny fihinana vary. ? Tairina, tsy avala hipetrapetraka fa horakorahina: Notabain-dry zalahy ny vorona ka lasa."
"Tabaka"," a.: Enti-milaza fidiran' olona na biby na zavatra indray miaraka betsaka. - t.i.f.: Atabaka, tafatabaka / mitabaka, fitabaka."
"Tabaka"," a.: Fahabetsahana azo anaranam-po. - t.i.f.: Atabaka, tafatabaka / mitabaka, fitabaka."
"Tabaka"," a.: Tehina be, langilangy na kibay. ¶ M. h, : Jar. Tehina."
"Tabakoly"," a: Vakim-bakoly, tavilotra."
"Tabariaka"," a.: Fiparitadritahanjavatra etsy sy eroa. - t.i.f.: Atabariaka, voatabariaka, tafatabariaka / manatabariaka, fanatabariaka, mpanatabariaka / anatabariahana, fanatabariahana / mitabariaka, fitabariaka, mpitabariaka / itabariahana, fitabariahana / mahatabariaka."
"Tabataba"," a.: Horakoraka, kotaba: Aoka tsY hisy hanao tabataba fa matory ny marary. ? Fikorontanana, fihetsiketsehana: Noraran'ny fanjakana ny filaharan'ny mpianatra fa mety ho nampisy tabataba teto an-tanàna. ? Fikomiana na fanoherana ny fitondrana: Nahafaty olona an'aliny maro ny tabataba tamin'ny taona 1947. - t.i.f.: Tabatabaina, atabataba, voatabataba, tinabataba / manabataba, fanabataba, mpanabataba / anabatabana, fanabatabana / mitabataba, fitabataba, mpitabataba / itabatabana, fitabatabana / mahatabataba / mampitabataba / mikotaba."
"Tabatabaina"," (tabataba) mt. M. (tabatabao): Tairina amin' ny horakoraka na kotaba: Aza tabatabaina ny uoronkosamborina. ? Helingelenina: Notabatabainao, hono, izy ka nanjary tsy hainy ny fianarany."
"Tabatera"," (fr. tabatière) a.: Fitoeran'ny paraky kisoka arapaka;tongobolo."
"Tabebaka"," p. t.: Mivelatra sy makadiry ny vavany, nefa i-va ny halaliny: Haron-tabeb ak a. * Ohab.: Lasan-ko uauany toa haron-tabebaka: enti-milaza zavatra izay anarany fotsiny no toy izao sy toy izao fa tsy arakaraka izany ny tena izy."
"Tabiha"," na Voatabiha a.: Zavamaniry fihinam-boa, andrahoina mba hampahatsiro ny laoka."
"Tabiha"," a.: Olona heverina ho voninahitra ny fananana azy, rehareha: Ho tabihan'ny tanindrazana ianao rahatrizay raha mianatra tsara."
"Tabika"," (fit.-p.) a.: Lakan-drano."
"Tabilao"," (fr. tableau) a.: Fampisehoana indray mijery."
"Taboaka"," a.: Loaka atao arnin' ny valamparia mba handehanan'ny rano any an-tanimbary."
"Taboika"," na Tabo?-drano a.: Fivoahan'ny rano avy any anaty tany; boiboika. * t.i.f. : Mitaboika, fitaboika, mpitaboika."
"Tabonaka"," a.: Anaran'ny karazan-toho lehibe indrindra."
"Tabonaka"," a.: Fibontsinana makadiry, malemilemy miroradroraka. * t.i.f. : Atabonaka, voatabonaka / mitabonaka, fitabonaka, mpitabonaka / itabonahana, fitabonahana / mahatabonaka / tabonabonaka."
"Taboretaka"," ft.: Fipetrahana miboletaka, malemy toa reraka. * t.i.f. : Ataboretaka / manataboretaka, fanataboretaka, mpanataboretaka / anataboretahana, fanataboretahana / mitaboretaka, fitaboretaka, mpitaboretaka / itaboretahana, fitaboretahana / mahataboretaka."
"Taboroahana"," (taboroaka) mt. ih. (taboroahy): Loahana tanteraka; tanterahina; gorobahana."
"Taboroaka"," a.: Loaka tanteraka, gorobaka. - t.i.f.: Taboroahana, ataboroaka, voataboroaka / manataboroaka, fanataboroaka, mpanataboroaka / anataboroahana, fanataboroahana / mitaboroaka, fitaboroaka, mpitaboroaka / itaboroahana, fitaboroahana / mahataboro aka."
"Taborobaka"," p.t.: Loaka, voaloaka, voagorobaka. - t.i.f.: Manataborobaka, fanataborobaka, mpanataborobaka / anataborobahana, fanataborobahana / mitaborobaka, fitaborobaka, mpitaborobaka / itaborobahana, fitaborobahana / mahataborobaka."
"Taborotsaka"," Jar. Borotsaka."
"Tabory"," a.:Ny boribory eo ambanin'ny filabiana, atao koa hoe vihina."
"Tabotetaka"," p. t.: Fipetrahana mibahana; fipetrahana, ka ny fitombenana mivelatra sy mitsotra amin'ny iva sy ambany. * Atabotetaka / manatabotetaka, fanatabotetaka, mpanatabotetaka / anatabotetahana, fanatabotetahana / mibotetaka, fibotetaka, mpibotetaka / ibotetahana, fibotetahana."
"Tadiavina"," (tady) mt. ih. (tadiauo): Atao izay hahitana azy: Notadiavin'ny polisy efa ho roa uolana io mpangalatra io. ¶ M.h.: Zahana, karohina. ? Tiana, irina: Lazao inona no tadiauinao, anaka, fa homeko anao. ? Kasaina: Tadiauin-drainy hatao kilasimandry Isamb?lo."
"Tadidina"," (tadidy) mt. ih. (tadidio): Enti-milaza zavatra izay atao ny hahatsiarovana azy; tsarovana; tsahivina: Tadidio kely izay rehetra nataonao omaly hariva."
"Tadidindrazana"," (Btl) a.: Lovantsofina."
"Tadidy"," a.: Fahatsiarovana, arika: Vary tadidy. ? mt. ih, (tadidio): Tsaroana, tsy hadino: Tsy tadidiko intsony ny trano nipetrahanay teto taloha. - t.i.f.: Tadidina, voatadidy / mitadidy, fitadidy, mpitadidy / itadidiana, fitadidiana / mahatadidy."
"Tadimpintana"," (Btl) a.: Randram-bolo betsileo miendrika tadim-pintana."
"Tadina"," (tady) mt, ih. (tadio): Atao tady: Hotadina no ambolena ireto rongony ireto fa tsy hofohina. ? Fatorana, rohizana: Nptadina mafy llay mpangalatra."
"Tadiny"," a.: Ny lava-tsofina. -  F.-p.: Manentsin-tadiny: manampin-tsofina, tsy mety mihaino na mody tsy mandre izay lazaina aminy."
"Tadio"," a.: Rivotra mitambolimbolina sy haingam-pandeha, mitondra vovoka na ravinkazo: Toy ny tadio ny fandehan'io zazalahy io. -  F.-p.: Tadio miaraka amin' ny afo: loza miampy loza ha-fa indray."
"Tadivavarana"," a.: Tady avôna tsy atao fato-maty fa atao mora vahana raha vao voasintona ny laniny; ampiasaina amin'ny fandri-borona na amin'ny faningorana omby..."
"Tady"," a.: Fizahana, fikarohana. * t.i.f.: Tadiavina, voatady / mitady, fitady, mpitady/itadiavana, fitadiavana / mahatady."
"Tady"," a.: Kofehy; ireo kiranjavamanirY samihafa azo atao kofehy amatorana: Makà tady hamehezana ny enta-na. ? h.i.: Famolaina: Efa nahitsy tamin'ny tady ity lalana ity. - t.i.f.: Tadina, voatady, tinady/manady, fanady, mpanady / anadiana, fanadiana / manatady, fanatady, mpanatady / anatadiana, fanatadiana / mitady, fitady, mpitady / mahatady. -  F.-p.: Tady manaraka: kofehy kely ampiasaina rehefa manenona. / Tadim-bozona: ireo hozabe amin'ny vo-zona. / Tady mita: 1) tady asain'ny mpanao sikidy henjanina avy eo amin'ny zorontrano atsimo andrefana mankamin'ny zorony avaratra atsinanana mba hiarovana amin'ny loza. -2) tady henjanina avy amin'ny môrondrano iray mankamin'ny morony er? am-pita ka arahina rehefa miampita an-domano. / Tady mody: vonantady izay manenda rehefa mihenjana. / Tadim-poitra: hozatra mitarehin-tady, ary mampitohy ny zaza ao an-kibo amin-dreniny eo anelanelan'ny ahitra. / Maty an-tady: maty am-pifatorana, izany hoe am-pigadrana, ary koa enti-milaza ny tsara fototra. / Tora-tady: ilazana ny lalana mahitsy tsy misy melomeloka, ka mifanandrlfy amin'izay iaingana ny er? am-pita."
"Taenimpolo"," a.: Enti-milaza ny isa tsy mba mandeha tsifolofolo ny venty sy ny jotso na songatombony fa tsienimpoloenimpolo; oh. 1 ora = 60 minitra, 1 min. = 60 segondra."
"Tafa"," Resaka somary entina mandany andro. - t.i.f.: Tafaina, voatafa / mitafa, fitafa, mpitafa / itafana, fitafana / mahatafa / tafatafa."
"Tafa"," (fit.-p.) a.: Ota, fahadisoana — Ny zavatra entimanohitra ny tafa dia atao hoe fatafa."
"Tafa-"," Tovona fanaovana matoantenin'ny iharana, milaza asa efa vita tanteraka, toy ny voa- ihany koa (tafavory, voavory), saingy izy matetika milaza fa ny tena ihany no manao ny asa. Mizara karazany roa ny mt. ih. misy tovona tata- raha ny heviny no jerena: 1) raha tsy misy mpanao ny asa voalaza, dia milaza asa toa tsy an-tsitrapo sendra lasa tsy nahy ny tafa-: Tafalentika tao anaty hohoko ny tsilo. 2) raha misy mpanao kosa ny asa voalaza, dia manisika ny hevitra hoe ""azo (atao)"" ny tafa-: Tsy tafauoakanay intsony ilay farafara fa uizana izahay."
"Tafabifona"," mt.: Nitsipika nandositra."
"Tafahitsoka"," (hitsoka) mt, th.: Latsaka na milentika amin' ny toerana tsy ahafahana miala: Tafahltsoka ao anatin' ny fotaka ny fiara."
"Tafaina"," (tata) mt.ih. (tafao): Resahina entina mandany andro: Inona indray no notafainareo roa tao tapak'andro maninjitra?"
"Tafarohona"," mt.: Mandeha miara-be."
"Tafarongirongy"," mt.: Nanao ditra, nikiribiby."
"Tafasirina"," (tafasiry) mt. ih. (tafasirio): Enti-milaza ny zavatra izay resahina: Mba zavatra mahafinaritra sy tsara tafasirina, rankizy a!"
"Tafasiry"," a.: Resaka mahasoa; dinidinika; tapatapakahitra. • t.i.f.: Tafasirina, voatafasiry / mitafasiry, fitafasiry, mpitafasiry / itafasir?ana, fitafasiriana / mahatafasiry / tafasirisiry. * F.-p.: Tafasiry aman-javona: resaka amin'olo-mpamitaka, mpandainga."
"Tafiana"," (tafy) mt. pdr. na ih. (tafio): Enti-milaza ny olona izay ampanaovina na rakofana lamba: Tafiana lamba ma-fana ny zaza uao teraka fa toerana materna no aao agita, nialany tao an-kibon-dreniny. ? h.o.: Karakaraina, o-mena akanjo: Notafian-dRamatoa io hatrizay ela izay ireo mahantra ireo."
"Tafiditra"," (iditra) mt. ih. (t.t. m.): Mamo: Tafiditra Rangahy iny izany ka miuembena izaitsizy."
"Tafihina"," (tafika) m. ih. (tafiho): Enti-milaza fahavalo izay hatonina hasiana any aminy, tanàna izay ibosesehana halaina: Notafihin'ny A-lemaina i Frantsa tamin'ny 1945. / Notafihin'ny fahaualo ny tanànanay."
"Tafika"," a.: Fitambaran'ny miaramila enti-miady, miaramila amim-piadiana: Nandroso hamely ny fahaualo ny tafika. ? Fitambaran'ny miaramila mampiasa fiadiana sy fomba fiady iray: Ny tafika an-tanety, ny tafika an-dranomasina. ? Fitambaran'ny miaramila eo ambany fanevam-pirenena, foloalindahy: Izy no jeneraly mifehy ny tafika. ? h.o.: Enti-milaza fahamaroan'isa, fahabetsahana: Betsaka ue ny olona niakatra taty an-tanna nijery fety? Tafika iray manontolo ka ianao angaha maninona! * tif:: Tafihina, voatafika, tinafika / manafika, fanafika, mpanafika / téfitafika / miantafika, fiantafika, mpiantafika / iantafihana, fiantafihana."
"Tafina"," (tafy) mt. ih. (tafio): Enti-milaza ny lamba izay entina na irakofana: Lamba mafana no tokony hotafina rehefa ririnina. (Aoka tsy hafangaro amin'ny tafia-na)."
"Tafintohina"," p. t.: Voapoka na	Tafo a.: Saron'ny zavatra amvoadona amin-javatra eny am-pandehanana ny tongotra: Tafintohina izy no nampianjera azy. ? h.o.: Tezitra na sorena amin'ny fahitana ny ratsy ataon'ny hafa, amin'ny fiteny na toetra tsy mendrika asehon'ny hafa: Tafintohina aho nahita ilay Rangahy namono uady teo ampouoan'ny arabe. - t.i.f.: Tafintohinina, voatafintohina / manafintohina, fanafintohina, mpanafintohina / anafintohinana, fanafintohinana / mahatafintohina / hatafintohinana, f ahatafintohinana. — Tai"
"Tafintohinina"," (tafintohina) mt ih. (tafintohino): Entimilaza ny zavatra nidonan' ny tongotra, ny olona natao izay hahatezitra na hahasorena azy tamin'ny fiteny na toetra tsy mendrika naseho azy: Notafintohininao ny zanakao tamin'ny nanaouanao io asa io."
"Tafioka"," a.: Ny feon'ny rivotra mizozozozo rehefa mifampikasoka amin'ny ravinkazo na ny elakelaky ny hazo maniry na amin'ny hiriky ny varavarana."
"Tafiotra"," a.: Rivotra mahery."
"Tafita"," (ita) mt. ih.: Tonga ery an-dafin-drano, ery an-dafinkady., ? h.o.: Tody amin'izay riokendrena: Azo lazaina fa tafita daholo ny zanak ao. * Ohab.: Tafita uao rendrika: tapak'ohabolana io: Bo-ka milomano: tafita uao rendrika: enti-milaza olona izay nikezaka sy nifofotra mafy mba hahavita zavatra, nefa efa akaikin'ny ho tonga amin'izay nokendrena vao tsy mahomby (na marary na maty na voan'ny sampona tsy azo anoarana). / Tafita a?oha, alalan'ny aoriana: raha tafita aloha ny tena, narovan'ny avy aoriana no nahavitana izany."
"Tafitafy"," p. t.: (Varavarana) Mivoha sasaka, sady tsy mikatona tsara no tsy midanadana tanteraka. - t.i.f.: Atafitafy, voatafitafy, tafatafitafy / manafitafy, fanafitafy, mpanafitafy/ anafitafiana, fanafitafiana / mitafitafy, fitafitafy, mpitafitafy / mahatafitafy. bony indrindra: Vao nolokoana ny tafon'ity sarety ity. ? Zavatra entina mandrakotra, manarona ny trano, talla: O-hatrinona ny aria() amin'itony tafo itony? (rehefa mipetaka amin'ny trano izy no a-tao hoe tafontrano). ? Ny fitambaran'ny sarona na rakotry ny trano: Izao tsy mbola misy orana izao no fotoana tsara fanamboarana ny ta-fo (eto izy dia azo soloana hoe: tafontrano). - t.i.f.: Tafoana, atafo, voatafo / manafo, fanafo, mpanafo / anafoana, fanafoana / mitafo / itafoana, fitafoana / mahatafo. -  F.-p.: Tafo be: fitambaran' ny ilan'ny tafo anankiroa. / Tafo bondrona: bozaka na herana alaina amin'ny trano efa raya. / Tafo lanitra: enti-milaza irony tafo efa simba izaitsizy ka tazana avy ao anaty trano ny lanitra. / Tafonanahary: ny lanitra, ny habakabaka. Karazan-tafo: tafo bozaka, tafo hazo, tafo fanitso, tafo kapila na tafo tanimanga. / Tafon-tranon' andriana: 1) ny trano rehetra, satria noheverina fa ny andriamanjaka no tompony voalohany; 2) ny trano ipetrahan'ny andriamanjaka; 3) enti-milaza ny olona nafahana tamin'ny fanandevozana na olom-potsy, satria ny mpanjaka ihany no noheverina ho tompony. / Nalefa ho tafon-tranon'andriana: enti-milaza ny mpanompo novotsorana tsy ho andevon' olona intsony. * Ohab.: Raha hangataka, mivelatra ohatra ny tafontrano; raha hangatahina, mihorona ohatra ny tapenaka: entiamilaza ny olona tia tena: rehefa hangataka aminao izy, miseho ho toy ny olona tsara, malala-tanana; rehefa hangatahanao zavatra kosa izy, tsy hahitanao mangirana."
