"word","definition"
"V"," a.: Tarehintsoratra fahasivy ambin'ny folo ary renisoratra fahadimy ambin'ny folo amin'ny abidy malagasy, izay miova ho b amin'ny fanakambanan-teny: Takolaka varavarana miova ho takolabaravarana; marihina fa ny v manombola fototeny mikambana amin'ny ""man"" mba hanaovana matoanteny dia indraindray miova ho ""b"" ka ny ""man"" lasa ""mam"" (man + voly = mamboly), indraindray kosa latsaka fotsiny amin'izao (man + velona = mamelona).
 Ahitsio"
"Va"," Kianteny enti-manontany, ka tsy fanontaniana tsotra no ambara aminy fa fanontaniana fampiasa amin'ny kabary izay fantatra avy hatrany rahateo fa ho ""tsia"" na ""eny"" no valiny: Ho sahintsika va ny minia ho very? (Ny fampiasana ny va dia tsy manomboka fehezanteny fa eo aorian'ny teny fototry ny fanontaniana; indraindray azo ampiarahina amin'ny ""moa"" ny va ka atao manarakaraka azy: Moa va tsy rahalahintsika rehefa mety ho iray ra amintsika?)
 Ahitsio"
"Vadiana"," (vady) mt. pdr. (vadio): Ampiarahina amin' ny...: Tsy hahavelona anao io asa io raha tsy vadianao raharaha iray hafa.
 Ahitsio"
"Vadidirana"," na Vadidirina (vadiditra) mt ih. (vadidiro): Ladfnina, iolanana: Vadidiran'ny voninkazo ny andry.
 Ahitsio"
"Vadiditra"," a: Fifandidirana, fadiditra. ~ Dian-tsora-kazo nikapohana, na ny fatotra nifatorana. 6 t.if.: Vadidirana, vadidirina, avadiditra, voavadiditra, tafavadiditra 1 mamadiditra, famadiditra, mpamadiditra 1 amadidirana, famadidirana 1 mivadiditra, fivadiditra 1 ivadidirana, fivadidirana 1 mahavadiditra.
 Ahitsio"
"Vadika"," a.: Fisehoan'ny ilany tsy mbola niseho: Vadi-boamaso. 1 Lafy: Vadi-tsarany. ~ Fitaipahana, tsy fitanana ny teny natao: Vadi-belirano. ? Famindrana na famonosan-damba ny razana efa maty: Vadi-drazana i t.l.f.: Avadika, voavadika, tafavadika I mamadika, famadika, mpamadika 1 amadihana, famadihana 1 mifamadika 1 mampifamadika 1 mivadika, fivadika, mpivadika 1 ivadihana, fivadihana I mahavadika 1 vadibadika j mamadibadika 1 mivadibadika.
 Ahitsio"
"Vadina"," (vady) mt. ih. (vadio): Alaina ho vady: Zazavauy tsy azo vadina iny fa ratsy toetra izaitsizy.
 Ahitsio"
"Vadintany"," a.: Olona napetraky ny mpanjaka fahiny hitana ny tany sy ny fanjakana, hitondra ny tenin'ny vahoaka ary hitsara ny ady tsy vita teo amin'ny fokonolona na teo amin'ny tompomenakely. — (Nisy karazany roa: ny vadintanimbohitra na vadintany ambany ary ny vadintany ambony; ireo voalohany dia ireo izay mipetraka isam-bohitra ary vantanin'ny vadintany ambony; ny vadintany ambony kosa dia ireo tsy misaraka amin' ny mpanjaka miara-midinika aminy ny ady tonga eo andRova, mitondra ny teniny ary mamaky heloka ny olona). — Ankehitriny kosa, ny vadintany dia olona vita fianianana manana andraikitra hampanatanteraka ny didimpitsarana efa nivoaka.
 Ahitsio"
"Vadipeo"," a.: Teny ilazana ny fivadiham-baninteny: mahandroa = mandrahoa.
 Ahitsio"
"Vady"," a.: Ny iray amin'ireo olona roa (lahy sy vavy) mikambana araka ny fanambadiana: Lasa nandranto ny vadin-dRamatoa Rasoa, (Matetika, indrindra taloha, ny vehivavy voahataka, voatitra vodiondry, nampakarina no natao hoe vady, fa raha tsy vita araka ireo dia sakaiza, na ranitra, na vazo, na saingy, na tokantranomaso). ~ Ny singany amin'ny zavatra iray lomisy na iray aman'olona: Nankaiza ny vadin'ity kiraro ity? ~ Iray amin'ny zavatra fahita na fampiasa miaraka mandrakariva tahaka ny mifameno, toy ny savily sy ny lahintsavily. 6 t.i. f,: Vadina, vadiana, voavady, vinady / manambady, fanambady, mpanambady / anambadiana, fanambadiana / mamady / mivady, fivady, mpivady / ivadiana, fivadiana, mampivady, fampivadiana. Mampody vady: a) mampiverina indray ny vady nisintaka; b) manao fanambadiana tsotra, tsy malaza. / Mambodo na mibodo vadin' olona: maka vadin'olona. / Mandrani-badin'olona: mijangajanga. J Miandrano vady: mangata-bady. / Vady afaka: vehivavy afaka tsY ho vady raha tsy manaraka ny fepetra nifanarahana ny lahy. / Vady ahantona: vady noroahina fotsiny fa tsy mbola nisaorana, izany hoe tsy mbola nisarahana ara-da      / Vady amboarina: enti-milaza ny zanak'olo-mpirahalahy na havana akaiky ampifanambadina, na tsy sitrany ara, mba tsy hivoaka ny harena. / Vady an'efitra, vady an-tsiraka: tokantrano-na lehilahy mandranto any anindrana. J Vady an-tery: lehilahy na vehivavy terena hanambady olona tsy sitrany. / Vady enti-mila: vady atao filan-tsy mahita fotsiny, izany hoe iaraha-mipetraka fotsiny ambara-pahita hafa, na koa entina mampandotso ny hala ho tia ny tena. / Vady entin-doloha: vehivavy alain'ny rahalahim-badiny ho vady raha maty ny vadiny. / Vady be: ny vady voalohany amin'ireo vadin'ny lehilahy mainpirafy. / Vady fady: olona tsy tokony hivady nefa mivady ihany, toy ny zanak'olompirahavavy. / Vady fofo: vehivavy kasaina ho vady, fofombady. / Vady fotsinantsy: vady tsy miteraka na momba. / Vady kely: ny vady farany amin'ireo vadin' ny lehilahy mampirafy. / Vady lohamandry: vehivavy efa lehibe angatahin'ny ray aman-dreni-na tovolahy amin'ny ray aman-dreniny, I Vady lova: vehivavy alain' ny rahalahim-badiny ho vady raha maty ny vadiny. / Vad y masay: ny vady eo anelanelan'ny vady be sy ny vady kely, na firy na firy, ho an' ny lehilahy mampirafy. j Vadim-bolana: anaran-kafa ilazana ny Fitarikandro. I Vadim-bozo: fehivozona, gedragedra, rado. I Vady mody: enti-milaza ny vady tsy atao malaza fa tsorina ny fampakarana azy. / Vadin-koditra: tsy misaraka amin'ny hoditra, tsy azo sarahina (ny aretina dia tandra vadin-koditry ny olombelona). / Vadin'ny maro lahy: vehivavy efa voalaza dieny mialoha amin'ny fangatahana azy fa ho vadin'ny rahalahim-badiny hatrany izy raha sendra ka maty hatrany koa izay manambady azy. / Vady sengy: vehivavy alai-na tovolahy ho vady tsy nandalo teo amin'ny ray aman-dreny. / Vady tra-drafy: enti-milaza ny vady izay tratran'ny rafivaviny ao an-trano nefa mbola tsy voasaotra akory izy, j Vady tsindrano: vehivavy alain'ny Andriamanjaka na ny zanak'andriana ho vady amin'ireo Tsindranovavy na amin'ny mpanompovaviny. ¶ M.h.: Namana, andefimandry, taolan-tehezana, anjara, anjara tokantrano, tokantrano. — Vady tsindrano, vady an-tsfraka, vady an' efitra, tokantranomaso, vazo, sakaiza ratsy, ranitra, sengy.
 Ahitsio"
