"word","definition"
"Z"," a.: Tarehintsoratra faharoapolo na farany ary renisoratra fahenina ambin'ny folo amin'ny abidy malagasy; izay miova ho ""j"" amin'ny fanakambanan-teny: Toetra zavatra = toe-jauatra, ary toy izany koa raha mikambana amin'ny tovona man mba hanaovana matoanteny: Manzaitra = manjaitra."
"Z'inona"," (izay inona?) a.: Teny enti-maneso sy manao tsinontsinona ny sasany: Z'inona ialahy no mba manontany? / — Hauana e, Razoky, ka ualio ihany; / Biby; samy biby ka mifang!à! (Rakotovao Joh.)."
"Za-"," Tovona fanaovana fototeny faharoa, izay anarana milaza olona: Zatovo (tovo), zalahy (lahy)."
"Zabý"," (fr. des habits) a.: Akanion-dehilahy fentina mianjaika, izay toy ny palitao lava ary mifarana vorivory ao ivoho."
"Zafiafy"," a.: Zanaky ny zafy, zana-jafy."
"Zafimaniry"," a.: Zanapoko betsileo, monina amin'ny farftra atsinanan'Ambositra (firaisam-pokontany Antoetra sy Ambohimitombo) malaza amin'ny fahaizan'ny mponina asa sokitra hazo sy vato izay ahavitany fanaka sy sary voakaly izaitsizy."
"Zafinadrisa"," o.: Anaran-kafa iantsoana ny valala atao hoe ""Tsingentana""."
"Zafindraony"," a.: Karazan-javatra tompon-tany nampifangaroina tamin'ny karazana vahiny ka nahatonga karazana hafa eo anelanelany: A-koholahy zafindraony. / Hira zafindraony. ¶ M,h.: Kinto, kiry, sarY, safiotra, metisy."
"Zafy"," a.: Zanaky ny zanaka, na taranaka faharoa (ny zanaka no voalohany): Matetika no manahaka ny raibe, hono, ny zafy. ~h.i.: Taranaka: Zafin' ny mpanjaka Andrianampoinimerina izy. -  F.-p,: Loa-jafY: ilazana ny olona vao nahazo ny voalohan-jafikeliny. I Zafiafy: zanaky ny zafy, na taranaka fahatelo. I Zafin-dohalika: zanaky ny zafiafy, na taranaka fahefatra. / Zafin-kitrokely: zanaky ny zafin-dohalika na taranaka fahadimy. / Zafirnpaladia: zanaky ny zafin-kitrokely na taranaka fahenina. / Zafin-doria: zanaky ny zafim-paladia na taranaka fahafito,sy ny manaraka rehe tra. / Zafy mafy na zafy tsy torana: enti-milaza ireo zafikely efa lavitra dia lavitra ka tsy mba mitomany intsony raha manche fa maty ireo kazaha na razam-beny tany aloha. / Zafy tsy havana: ny taranaka iray fiaviana nefa noho ny fahalaviran' ny fihavanana dia toa tsy hi-ta intsony ny maha-mpihavana azy. / Zafim-bary: ny taimoky ny vary avy eo amin' ny fotony izay miteraka sy masaka mialoha. / Zafim-bato: anaram-bosotra amena ny kary. / Zafin-dekà: ilazana ny dekan'olona iray, izay mba deka-na manamboninahitra ihany koa. / Zafinkevitra: hevitramadinikaavy amin'ny lohahevitra na votoatin-kevitra iray. / Zaf in-teny: ilazana ireo f1zarazarana madinika amin'ny Iohateny na kabary. * Ohab.: Ny zafy mpanahaka: enti-milaza fa matetika, araka ny fanamarihan'ny Ntaolo, dia manahaka ny raibeny ny zafy; fantatra koa fa tian'ny raibeny fatratra ny zafikeliny, ary izany no nahatonga ny zafy sasany nomena ny anarana hoe ""Ratsimbazafy"" (tsy mba zafy fa zanaka)."
"Zaha"," a,: Fijerena zavatra: Nataony tsara zaha ny tranoko. ~ Fanaovana izay hahitana, fitadiavana. ? Fandinihana. 1 Fitsapana. i t,if.: Zahana, zahavana, voazaha, zinaha I mizaha, fizaha, mpizaha 1 izahana, fizahana / mahazaha I zahazaha."
"Zahamborizano"," a.: Karazankazo fihinam-boa (Jambosa Eugenia)."
"Zahàna"," na Zahavana (zaha) mt. ih. (zahào, zahàvo): Jerena: Zahào kely izao mandondB-na izao. 1 Tsidihina, jerena toetra: Efa nozahanao ve ny fambolenareo any ambaniuohitra fa toa aisy hauandra, hono, tany tamin'ny herinandro lasa? ? Vangiana: Zahao izany rainao naratra izany. 1 Dinihina: Zahao ange ny tarehin'it? zaza its' e! ~ Tadiavina, karohina: Nozahany eran'ny lohasaha ilay ombiny very. 1 Tsapaina: Zahao izay heui-dRakoto momba on'io raharaha io."
"Zahana"," a.: Karazan-kazo tena mafy fanaovana taho na zaran-javatra (Phyllarthron Bojerianum)."
"Zahana"," ft.: Tsy fikotrehana. - t.i.f.: Manjahana,manjahatra 1 ampanjahanina."
"Zahatra"," a.: Vatan-kazo na volotsangana lehibe maromaro akambana ka atao solon-dakana fitana rano: Nita tamin'ny zahatro ny mpianatra ka horakoraka moa izao! * Ohab.: Mampitaha lakana amin-jahatra: mampitovy zavatra roa tsy mitovy lanja na vidy veljvely."
"Zahay"," s.o.: Jer. Izahay."
"Zaho"," s.o.: Jer. Izaho."
"Zaigrafy"," (fr, des agrafes) a,: Vy kely (misy lahy sy vavy) mifampitsofoka, izay ampiasaina ho toy ny bokotra hitanana ny akanjo tsy hisokatra."
"Zaingizaingy"," na Jaingijaingy ft.: Fandehanana irery. 1 tif: MizaingizaingY, fizaingizaingy."
"Zairina"," (zaitra) mt. ih. (zairo): Gamba) Akambana amin' ny kofehy mba ho tonga akanjo: Nozairin'i Neny ny akanjoko. 1 Avftrana, atohy: Nozairin'i Dada ny fihauananay."
"Zaitra"," a.: Fampikambanana lamba amin'ny kofehy mba hahatonga azy ho akanjo: Tsy mbola mahay zaitra i Bozy kely. ~ Fomba nanjairana: Tzara zaitra it? akanjonao it? izany! i Zairina, voazaitra, zinaitra 1 manjaitra, fanjaitra, mpanjaitra 1 anjairana, fanjairana 1 mizaitra, fizaitra I izairana, fizairana 1 mahazaitra 1 zaijaitra."
"Zaka"," a: Dity, fitondràna: Fikasana an'olombelona fa ny zaka an-Janahary. 1 mt th. ft.: Azo entina fa tsy mavesatra amin'ny tena: Zakako io vota io. (t Lefitra: Tsy zakako intsony ny ataony ahy. ~ Tanty: Tsy zakany, hono, ny fahoriany fa mafy loatra. ~ Aritra: Zakanao ve izany hafanana 36° izany? ~ Hay alamina, karakaraina: Mbola kely izy ka tsy zakany ny fananany. - t.i.f.: Zakaina, voazaka I manjaka, fanjaka, mpanjaka ; anjakàna, fanjakàna ; mizaka, fizaka, mpizaka ; izakàna, fizakàna 1 mahazaka 1 ahazakàna, fahazakàna 1 zakazaka. -  F.-p.: Mahery zaka: sarotra entina, sarotra fehezina. / Mihory zaka: manao araka ny faniriany, manaran-tsitrapo. / Olon-jako: olom-pehezina. * Ohab,: Ny fahoriana mahazaka maniraka: enti-milaza fa rehefa sendra fahoriana ny tena, mitotototo atsy, mitotototo ary, mitady izay hivelomana. "
"Zaka"," a.: Teny, resaka, tafa. i tif: Mizaka, fizaka, mpizaka 1 izakàna, fizakàna."
"Zakaina"," (zaka) mt. ih. (zakao): Leferina: Zakao ny zava-tsarotra fa hisy ualiny ihany izany. 1 Entina, fehezina, didiana: Niala ilay mpampianatra fa tsy hainy zakaina, hono, ireo mpianatra maditra ireo. •Karakaraina, iantohana: Nozakain'ny fokonolona daholo ny sekoly tao amin'ny fokontany."
"Zalahy"," s.a.: Teny ilazan'ny tovolahy ny tovolahy tahaka azy, ka fomba roa no ampiasany azy: 1) enti-miantso: Andeho hiasa, ry zalahy a! 2) ilazana ny hala, ka ambara amin'izany fa tsy ao anatiny ny tena: Ry zalahy no nanao an'io koah! / Lazain-dry zalahy fa..."
"Zama"," (Tsm) a.: Anadahin-dreny."
"Zama"," a.: Ahitra eny anaty rano. * F.-p.: Asa rama: asa be ahitra anaty rano."
"Zambazamba"," p.t:: Be dia be, ilazana isa mihoatra izay azo saintsainina. * F.-p.: Tsy hita zambazamba: 1) tsy hita isa; 2) tsy azo oharina, tsy manam-paharoa."
"Zana-tsindrife"," zanaky ny mpanompovavy tamin'ny tompolahiny. / Zanaka antrano: zanaka tsy nateraka fa velomina sy karakaraina toy ny zanaka. / Zana-bantony: ny zanaka nateraka voalohany. / Zana-baratra: enti-milaza ny zanaka na zaza notezaina, nefa tsy mahay mankasitraka ary manisy ratsy indray aza aty aoriana. / Zana-bohitra: vohitra kely. / Zana-bola: ilazana ny vola aloan'ny mpisambotra ambonin'izay nosamboriny. / Zana-dandy: soherina avy amin'ny landy. / Zana-dreniny: ilazana ny zaza zanaky ny vehivavy efa miandoha ho lehibe. f Zanakalo: olona hafahafa, sarotsarotiny. / Zanakazo (jer. io teny io). / Zanak'entana: zavajavatra amponosana manampy ny tena entana entina. / Zana-tany: ny teraka tao amin'ny tany niaviany. f Zana-tefY: ny zaza entin-drainy manaraka azy eny an-tsaha ka miara-misakafo aminy nefa tsy mba niasa akory. / Zanatohatra: ny hazo mitsivalana amin' ny renitohatra. / Zana-tsipika: hazo marani-doha alefa amin'ny tsipfka. / Zana-tstrika: hazo noranitina ka nofehezina volomborona madinika ny tapany mba hitsoriahany rehefa alefa ao anatin'ny renitsfrika. / Atao zanaky ny maty: enti-milaza olona tokony mba hotiavina, nefa toa hadinoina na tsy izarana soa. / Mivolo zanaka: enti-milaza ny ray aman-dreny izay miangatra amin'ny samy zanany na zana-kavany. / Mampihanta zanaka:mampanaram-po ny zanaka. * Ohab.: Manao zanaka anaty fo maharary: enti-milaza ny ray aman-dreny miangatra amin'ny zanany naterany, izay heveriny ho hany mahalala mangixifiry, fa ny an'ny hafa tsy ahoany na kely akory aza. / Tsy misy mamy ohatra ny zanaka, fa raha manaikitra ny nono akifika: enti-milaza fa na dia izay tiana lndrindra aza, raha tafahoatra ny toetra asehony dia akipaka. ¶ M.h.: Nateraka, silaky ny aina, sombin'ny aina, menaky ny aina, naloakan'ny kibo. Hevitra iray tarika: Zana-drahalahy, zana-drahavavy, zanak'anadahy, zanak'anabavy, tsy omby kibo, solo, solofo, dimby, taranaka, teradRanona, zaza navelan-dRanona, zaza natsangana."
"Zanabolana"," a.: Antontan-javatra goavana alefan'ny olombelona eny amin'ny habakabaka, nefa tsy mihoatra ny faritra ahazoan'ny tany misintona azy, ka manjary toy ny volana kely manodidina ny tany ary ampiasain'ny olo-mahay amin'ny fikarohana ara-tsiansa."
"Zanafaly"," (Atm) a.: Zanatsirika misy poizina miharo voan-tsakay voatoto. Ahitsio"
"Zanahary"," a.: Teny enti-milaza an' Andriamanitra, NatLahary. (Marihina fa ny Z sy N dia renisoratra azo am fanoloina indraindray, t ka ny hita, ohatra, aminj hoe: Zaotra sy Naotr"
"Zanahina"," (zanaka) mt, ih. (zanaho): Atsangana ho zanaka: Nozanahin-dRakoto mivady Isambilo kely. • Ampiterahina, asiana zanany, hanaina: Hampisamboriko roa ariuo ianao fa hozanahinao anefa ny volako."
"Zanaka"," a.: Olona na biby nateraky ny hafa, na tokotokony ho izany ara-taona na dia tsy naloakan'ny kibony aza: Tokony hanaja sy ho tia ny ray aman-dreniny ny zanaka. / Zanak'omby. ? h. o.: Vola ateraky ny petrabola na vola nosamborina: Zana-bola. - t.i.f.: Zanahina I manjanaka, fanjanaka, mpanjanaka 1 anjanahana, fanjanahana 1 ampanjanahina 1 mampanianaka / fampanjanahana / mizanaka. -  F.-p.: Zanaka naloakan'ny kibo: ny zaza nateraka. / Zanaka natsangana: olona nozanahina ho zanaka teo anatrehan'ny fanjakana. / Zana-bady: zanaky ny vady ta-min' olon-kafa. I Zana-dranitra: zanaky ny mpanompolahy tamin'ny tompovaviny."
"Zanapeo"," a.: Anarana omena ny zanatsoratra eo amin'ny fanononana. Misy karazany roa ny zanapeo, dia ny zanapeo tsotra ary ny zanapeo sosona (ao, ai, oi...)."
"Zanaraly"," na Zaranaly a.: Tsy fampiasa intsony ireo teny ireo fa Jeneraly no fiteny ankehitriny (jer. io teny io)."
"Zanatany"," a.: Tany izay zanahin'ny tany iray hafa, izany hoe alainy an-keriny na ankafetsena ho eo ambany fifehezany ka mifamatotra aminy amin'ny lafiny maro: ara-barotra, ara-toe-karena, ara-tsaina..."
